"","sub.id","sub.name","sub.sys","sub.status","pri.id","pri.name","pri.status","start","end"
"53",570,"FERNDALE PIPELINE SYSTEM","GT","ACTIVE",31189,"BP","Current",1995-04-20,2025-01-26
"54",576,"ARGONIA MUNICIPAL SYSTEM, CITY OF","GD","ACTIVE",576,"ARGONIA MUNICIPAL SYSTEM, CITY OF","Current",1995-04-20,2025-01-26
"55",585,"ARGYLE MUNICIPAL GAS SYSTEM","GD","ACTIVE",585,"ARGYLE MUNICIPAL GAS SYSTEM","Current",1995-05-24,2025-01-26
"56",585,"ARGYLE MUNICIPAL GAS SYSTEM","GT","ACTIVE",585,"ARGYLE MUNICIPAL GAS SYSTEM","Current",1995-05-24,2025-01-26
"57",602,"ENABLE GAS TRANSMISSION, LLC","GT","ACTIVE",32099,"Energy Transfer","Current",2022-07-01,2025-01-26
"58",602,"ENABLE GAS TRANSMISSION, LLC","GT","ACTIVE",31202,"Enable Midstream","Superseded",2015-04-01,2022-06-30
"59",602,"ENABLE GAS TRANSMISSION, LLC","GT","ACTIVE",602,"CenterPoint","Superseded",1995-05-24,2015-03-31
"60",602,"ENABLE GAS TRANSMISSION, LLC","UNGS","ACTIVE",32099,"Energy Transfer","Current",2022-07-01,2025-01-26
"61",602,"ENABLE GAS TRANSMISSION, LLC","UNGS","ACTIVE",31202,"Enable Midstream","Superseded",2017-01-18,2022-06-30
"62",603,"SUMMIT UTILITIES INC.","GD","ACTIVE",603,"CENTERPOINT ENERGY RESOURCES CORP.","Current",1987-06-04,2025-01-26
"63",603,"SUMMIT UTILITIES INC.","GT","ACTIVE",603,"CENTERPOINT ENERGY RESOURCES CORP.","Current",1987-06-04,2025-01-26
"64",612,"CITY OF ROCKPORT","GD","ACTIVE",612,"CITY OF ROCKPORT","Current",1995-05-24,2025-01-26
"65",621,"ARKANSAS OKLAHOMA GAS CORP","GD","ACTIVE",621,"ARKANSAS OKLAHOMA GAS CORP","Current",1995-05-24,2025-01-26
"66",621,"ARKANSAS OKLAHOMA GAS CORP","GT","ACTIVE",621,"ARKANSAS OKLAHOMA GAS CORP","Current",1995-05-24,2025-01-26
"67",630,"SOURCEGAS ARKANSAS INC.","GD","INACTIVE",10030,"SourceGas","Current",1995-05-24,2025-01-26
"68",630,"SOURCEGAS ARKANSAS INC.","GT","INACTIVE",10030,"SourceGas","Current",1995-05-24,2025-01-26
"69",648,"ARLINGTON GAS SYSTEM, CITY OF","GD","ACTIVE",648,"New Commonwealth","Current",1995-04-20,2025-01-26
"70",660,"ARLINGTON ENERGY GROUP, LLC","GT","ACTIVE",660,"ARLINGTON GAS PIPELINE CO, LP","Current",1995-04-21,2025-01-26
"71",666,"ARLINGTON NATURAL GAS CO","GD","ACTIVE",666,"ARLINGTON NATURAL GAS CO","Current",1995-04-20,2025-01-26
"72",675,"ARNAUDVILLE MUNICIPLE SYSTEM, TOWN OF","GD","ACTIVE",675,"ARNAUDVILLE MUNICIPLE SYSTEM, TOWN OF","Current",1995-04-20,2025-01-26
"73",702,"ASHBURN GAS DEPT, CITY OF","GD","ACTIVE",702,"ASHBURN GAS DEPT, CITY OF","Current",1995-04-20,2025-01-26
"74",729,"ASHLAND MUNICIPAL GAS, TOWN OF","GD","ACTIVE",729,"ASHLAND MUNICIPAL GAS, TOWN OF","Current",1995-04-20,2025-01-26
"75",766,"ATHENS GAS DEPARTMENT","GD","ACTIVE",766,"ATHENS GAS DEPARTMENT","Current",1995-04-20,2025-01-26
"76",774,"ATHENS UTILITIES BOARD","GD","ACTIVE",774,"ATHENS UTILITIES BOARD","Current",1995-04-20,2025-01-26
"77",792,"ATLANTA GAS LIGHT CO","GD","ACTIVE",792,"Atlanta Gas Light","Current",1995-05-24,2025-01-26
"78",792,"ATLANTA GAS LIGHT CO","GT","ACTIVE",792,"Atlanta Gas Light","Current",1995-05-24,2025-01-26
"79",828,"WEST ESCAMBIA UTILITIES, INC.","GD","ACTIVE",828,"ATMORE UTILITIES BOARD, CITY OF","Current",1995-04-20,2025-01-26
"80",837,"ATTICA GAS DEPT, CITY OF","GD","INACTIVE",837,"ATTICA GAS DEPT, CITY OF","Current",1995-04-20,2025-01-26
"81",840,"MOJAVE PIPELINE OPERATING COMPANY","GT","ACTIVE",2564,"Kinder Morgan","Current",1995-04-21,2025-01-26
"82",842,"AIR LIQUIDE LARGE INDUSTRIES U.S. LP","GD","ACTIVE",842,"AIR LIQUIDE LARGE INDUSTRIES U.S. LP","Current",1995-04-21,2025-01-26
"83",842,"AIR LIQUIDE LARGE INDUSTRIES U.S. LP","GT","ACTIVE",842,"AIR LIQUIDE LARGE INDUSTRIES U.S. LP","Current",1995-04-21,2025-01-26
"84",844,"KERN RIVER GAS TRANSMISSION CO","GT","ACTIVE",844,"KERN RIVER GAS TRANSMISSION CO","Current",1995-04-21,2025-01-26
"85",846,"AUBURN, CITY OF","GD","ACTIVE",846,"AUBURN, CITY OF","Current",1995-05-24,2025-01-26
"86",855,"AUBURN GAS DEPT, CITY OF","GD","ACTIVE",855,"AUBURN GAS DEPT, CITY OF","Current",1995-04-20,2025-01-26
"87",857,"MARKWEST PINNACLE, L.L.C.","GT","INACTIVE",857,"MARKWEST PINNACLE PNG UTILITY, LLC","Current",1995-04-21,2025-01-26
"88",860,"FAIRBANK, CITY OF","GD","ACTIVE",860,"FAIRBANK, CITY OF","Current",1995-04-20,2025-01-26
"89",860,"FAIRBANK, CITY OF","GT","ACTIVE",860,"FAIRBANK, CITY OF","Current",1995-04-20,2025-01-26
"90",861,"NEWFIELD EXPLORATION COMPANY","GT","INACTIVE",861,"NEWFIELD EXPLORATION COMPANY","Current",1995-04-20,2025-01-26
"91",864,"AUGUSTA, CITY OF","GD","ACTIVE",864,"AUGUSTA, CITY OF","Current",1987-06-04,2025-01-26
"92",872,"LAFITTE GAS PIPELINE","GT","ACTIVE",872,"LAFITTE GAS PIPELINE","Current",1993-04-28,2025-01-26
"93",873,"AUGUSTA LIGHT WATER & GAS, CITY OF","GD","ACTIVE",873,"AUGUSTA LIGHT WATER & GAS, CITY OF","Current",1987-06-04,2025-01-26
"94",878,"EAST KENTUCKY MIDSTREAM","GT","ACTIVE",878,"JEFFERSON GAS, LLC","Current",1995-05-03,2025-01-26
"95",879,"CHEMOIL TERMINALS LLC","HL","INACTIVE",879,"CHEMOIL TERMINALS CORP.","Current",1993-05-05,2025-01-26
"96",882,"AURORA GAS SYSTEMS, CITY OF","GD","INACTIVE",882,"AURORA GAS SYSTEMS, CITY OF","Current",1987-06-04,2025-01-26
"97",883,"WESTBROOK PUBLIC UTILITIES","GD","ACTIVE",883,"WESTBROOK PUBLIC UTILITIES","Current",1995-04-20,2025-01-26
"98",885,"AURORA GAS CO","GD","ACTIVE",885,"AURORA GAS CO","Current",1995-04-20,2025-01-26
"99",887,"Onalaska Water and Gas Supply","GD","ACTIVE",887,"Onalaska Water and Gas Supply","Current",1995-05-24,2025-01-26
"100",888,"COMMUNITY UTILITIES CO.","GD","ACTIVE",888,"COMMUNITY UTILITIES CO.","Current",1995-04-20,2025-01-26
"101",891,"AURORA UTILITIES","GD","ACTIVE",891,"AURORA UTILITIES","Current",1995-04-20,2025-01-26
"102",893,"STUART GAS CO","GD","ACTIVE",893,"STUART GAS CO","Current",1995-04-20,2025-01-26
"103",895,"KEYSTONE RURAL GAS DISTRICT #1","GD","ACTIVE",895,"KEYSTONE RURAL GAS DISTRICT #1","Current",1995-04-20,2025-01-26
"104",899,"5P GAS PIPELINE COMPANY","GT","ACTIVE",899,"5P GAS PIPELINE COMPANY","Current",1993-06-25,2025-01-26
"105",909,"AUSTELL NATURAL GAS SYSTEM, CITY OF","GD","ACTIVE",909,"AUSTELL NATURAL GAS SYSTEM, CITY OF","Current",1987-06-04,2025-01-26
"106",918,"AUSTIN UTILITIES","GD","ACTIVE",918,"AUSTIN UTILITIES","Current",1995-05-24,2025-01-26
"107",920,"NATGAS INC.","GD","ACTIVE",920,"NATGAS INC.","Current",1995-04-20,2025-01-26
"108",924,"ST. JAMES GAS DEPT., CITY OF","GD","ACTIVE",924,"ST. JAMES GAS DEPT., CITY OF","Current",1995-05-24,2025-01-26
"109",926,"OMEGA PIPELINE CO","GD","ACTIVE",926,"OMEGA PIPELINE CO","Current",1995-05-24,2025-01-26
"110",927,"AUXIER ROAD GAS CO INC","GD","INACTIVE",32601,"KENTUCKY FRONTIER","Current",1995-06-06,2025-01-26
"111",929,"SEBRING GAS SYSTEM, INC","GD","ACTIVE",929,"SEBRING GAS SYSTEM, INC","Current",2013-12-02,2025-01-26
"112",929,"SEBRING GAS SYSTEM, INC","GT","ACTIVE",929,"SEBRING GAS SYSTEM, INC","Current",2013-11-29,2025-01-26
"113",933,"AVANT UTILITIES AUTH","GD","ACTIVE",933,"AVANT UTILITIES AUTH","Current",1991-04-09,2025-01-26
"114",952,"ENERFIN RESOURCES II-92 LIMITED PARTNERSHIP","GT","ACTIVE",952,"ENERFIN RESOURCES II-92 LIMITED PARTNERSHIP","Current",1995-05-03,2025-01-26
"115",967,"PINEDALE NATURAL GAS, INC","GD","ACTIVE",967,"PINEDALE NATURAL GAS, INC","Current",1995-04-20,2025-01-26
"116",967,"PINEDALE NATURAL GAS, INC","GT","ACTIVE",967,"PINEDALE NATURAL GAS, INC","Current",1995-04-20,2025-01-26
"117",968,"UNIVERSAL NATURAL GAS, INC.","GD","ACTIVE",968,"TX Gas","Current",1995-05-24,2025-01-26
"118",969,"BALDWYN MUN GAS SYST","GD","ACTIVE",969,"BALDWYN MUN GAS SYST","Current",1995-04-20,2025-01-26
"119",972,"CLIFTON GAS DEPT, CITY OF","GD","ACTIVE",972,"CLIFTON GAS DEPT, CITY OF","Current",1995-04-20,2025-01-26
"120",976,"BURKESVILLE GAS CO, INC.","GD","ACTIVE",976,"Burkesville","Current",1995-06-01,2025-01-26
"121",977,"LAKIN, CITY OF","GT","INACTIVE",977,"LAKIN, CITY OF","Current",1995-04-20,2025-01-26
"122",978,"LAWRENCE PAPER CO","GD","ACTIVE",978,"LAWRENCE PAPER CO","Current",1995-04-20,2025-01-26
"123",978,"LAWRENCE PAPER CO","GT","ACTIVE",978,"LAWRENCE PAPER CO","Current",1995-04-20,2025-01-26
"124",980,"APPALACHIAN NATURAL GAS DISTRIBUTION COMPANY","GD","ACTIVE",980,"APPALACHIAN NATURAL GAS DISTRIBUTION COMPANY","Current",1995-05-24,2025-01-26
"125",980,"APPALACHIAN NATURAL GAS DISTRIBUTION COMPANY","GT","ACTIVE",980,"APPALACHIAN NATURAL GAS DISTRIBUTION COMPANY","Current",1995-05-24,2025-01-26
"126",986,"HARTLEY MUNICIPAL UTILITIES","GD","ACTIVE",986,"HARTLEY MUNICIPAL UTILITIES","Current",1995-04-20,2025-01-26
"127",993,"CROSSROADS PIPELINE COMPANY","GT","ACTIVE",405,"TransCanada","Current",2018-01-01,2025-01-26
"128",993,"CROSSROADS PIPELINE COMPANY","GT","ACTIVE",2616,"NiSource","Superseded",1995-04-20,2017-12-31
"129",994,"WILLIAMS FIELD SERVICES - GULF COAST COMPANY, LP","GT","ACTIVE",30826,"Williams Field","Current",1995-04-21,2025-01-26
"130",994,"WILLIAMS FIELD SERVICES - GULF COAST COMPANY, LP","HL","ACTIVE",30826,"Williams Field","Current",1995-04-21,2025-01-26
"131",997,"MIDWAY SUNSET COGENERATION CO","GT","ACTIVE",997,"MIDWAY SUNSET COGENERATION CO","Current",1995-04-21,2025-01-26
"132",999,"PACIFIC COAST ENERGY COMPANY, LP","HL","ACTIVE",999,"Breitburn","Current",1995-04-20,2025-01-26
"133",1007,"TALLGRASS INTERSTATE GAS TRANSMISSION, LLC","GT","ACTIVE",1007,"Tallgrass","Current",1995-05-03,2025-01-26
"134",1007,"TALLGRASS INTERSTATE GAS TRANSMISSION, LLC","UNGS","ACTIVE",1007,"Tallgrass","Current",2017-01-18,2025-01-26
"135",1031,"ONYX PIPELINE CO","GD","INACTIVE",1031,"ONYX PIPELINE CO","Current",1994-09-19,2025-01-26
"136",1031,"ONYX PIPELINE CO","GT","INACTIVE",1031,"ONYX PIPELINE CO","Current",1994-09-19,2025-01-26
"137",1042,"J CLEO THOMPSON","GT","INACTIVE",1042,"J CLEO THOMPSON","Current",1995-04-20,2025-01-26
"138",1048,"BAINBRIDGE GAS DEPT, CITY OF","GD","ACTIVE",1048,"BAINBRIDGE GAS DEPT, CITY OF","Current",1995-05-24,2025-01-26
"139",1056,"BAINBRIDGE MUNICIPAL GAS","GD","ACTIVE",1056,"BAINBRIDGE MUNICIPAL GAS","Current",1995-04-20,2025-01-26
"140",1064,"BAKER UTILITY SYSTEM","GD","ACTIVE",1064,"BAKER UTILITY SYSTEM","Current",1995-05-24,2025-01-26
"141",1072,"BALDWIN MUNICIPAL SYSTEM, TOWN OF","GD","ACTIVE",1072,"BALDWIN MUNICIPAL SYSTEM, TOWN OF","Current",1987-06-04,2025-01-26
"142",1088,"BALTIMORE GAS AND ELECTRIC COMPANY","GD","ACTIVE",1088,"BALTIMORE GAS & ELECTRIC CO","Current",1995-05-24,2025-01-26
"143",1088,"BALTIMORE GAS AND ELECTRIC COMPANY","GT","ACTIVE",1088,"BALTIMORE GAS & ELECTRIC CO","Current",1995-05-24,2025-01-26
"144",1096,"BAMBERG BOARD OF PUBLIC WORKS","GD","ACTIVE",1096,"BAMBERG BOARD OF PUBLIC WORKS","Current",1987-06-04,2025-01-26
"145",1120,"BARDWELL GAS SYSTEM, CITY OF","GD","ACTIVE",1120,"BARDWELL GAS SYSTEM, CITY OF","Current",1995-04-20,2025-01-26
"146",1128,"BARLOW NATURAL GAS SYSTEM","GD","ACTIVE",648,"New Commonwealth","Current",1995-04-20,2025-01-26
"147",1134,"BARROW UTILITIES & ELECTRIC CORP","GD","ACTIVE",1134,"BARROW UTILITIES & ELECTRIC CORP","Current",1995-04-20,2025-01-26
"148",1136,"BASILE, TOWN OF","GD","ACTIVE",1136,"BASILE, TOWN OF","Current",1995-04-20,2025-01-26
"149",1152,"BATESVILLE GAS DEPT, CITY OF","GD","ACTIVE",1152,"BATESVILLE GAS DEPT, CITY OF","Current",1995-04-20,2025-01-26
"150",1160,"BATESVILLE GAS UTILITY","GD","ACTIVE",1160,"BATESVILLE GAS UTILITY","Current",1995-04-20,2025-01-26
"151",1168,"BATH ELECTRIC GAS & WATER SYSTEMS","GD","ACTIVE",1168,"BATH ELECTRIC GAS & WATER SYSTEMS","Current",1995-04-20,2025-01-26
"152",1184,"BAY CITY MUNICIPAL GAS SYSTEM","GD","ACTIVE",1184,"BAY CITY MUNICIPAL GAS SYSTEM","Current",1995-05-24,2025-01-26
"153",1192,"NORTH BALDWIN UTILITIES","GD","ACTIVE",1192,"NORTH BALDWIN UTILITIES","Current",1995-05-24,2025-01-26
"154",1200,"BAY ST LOUIS MUNICIPLE GAS, CITY OF","GD","ACTIVE",1200,"BAY ST LOUIS MUNICIPLE GAS, CITY OF","Current",1995-04-20,2025-01-26
"155",1208,"BAY SPRINGS NATURAL GAS SYSTEM, TOWN OF","GD","ACTIVE",1208,"BAY SPRINGS NATURAL GAS SYSTEM, TOWN OF","Current",1995-05-24,2025-01-26
"156",1209,"COLUMBIA GAS OF MASSACHUSETTS","GD","INACTIVE",1209,"COLUMBIA GAS OF MASSACHUSETTS","Current",1995-05-24,2025-01-26
"157",1209,"COLUMBIA GAS OF MASSACHUSETTS","GT","INACTIVE",1209,"COLUMBIA GAS OF MASSACHUSETTS","Current",1995-05-24,2025-01-26
"158",1217,"BEAR CREEK STORAGE CO","GT","ACTIVE",2564,"Kinder Morgan","Current",1995-04-20,2025-01-26
"159",1217,"BEAR CREEK STORAGE CO","UNGS","ACTIVE",2564,"Kinder Morgan","Current",2017-01-18,2025-01-26
"160",1224,"BEAUMONT MUNICIPAL GAS, TOWN OF","GD","ACTIVE",1224,"BEAUMONT MUNICIPAL GAS, TOWN OF","Current",1995-04-20,2025-01-26
"161",1232,"BEDFORD NATURAL GAS SYSTEM","GD","ACTIVE",1232,"BEDFORD NATURAL GAS SYSTEM","Current",1995-05-24,2025-01-26
"162",1232,"BEDFORD NATURAL GAS SYSTEM","GT","ACTIVE",1232,"BEDFORD NATURAL GAS SYSTEM","Current",1995-05-24,2025-01-26
"163",1240,"BELFRY GAS INC","GD","INACTIVE",32601,"KENTUCKY FRONTIER","Current",1995-05-24,2025-01-26
"164",1248,"BELLE FOURCHE PIPELINE CO","HL","INACTIVE",1248,"Belle Fourche Pipeline Co.","Current",1987-06-04,2025-01-26
"165",1256,"BELLE RIVE GAS CO","GD","ACTIVE",1256,"BELLE RIVE GAS CO","Current",1995-04-20,2025-01-26
"166",1272,"BELLVILLE, CITY OF","GD","ACTIVE",1272,"BELLVILLE, CITY OF","Current",1995-05-24,2025-01-26
"167",1280,"BELMONT NATURAL GAS SYSTEM, TOWN OF","GD","ACTIVE",1280,"BELMONT NATURAL GAS SYSTEM, TOWN OF","Current",1995-04-20,2025-01-26
"168",1304,"BENNETTSVILLE ELECTRIC & GAS, CITY OF","GD","ACTIVE",1304,"BENNETTSVILLE ELECTRIC & GAS, CITY OF","Current",1995-04-20,2025-01-26
"169",1312,"CITY OF BENSON","GD","ACTIVE",1312,"CITY OF BENSON","Current",1995-04-20,2025-01-26
"170",1328,"BENTON GAS SYSTEM, CITY OF","GD","ACTIVE",1328,"BENTON GAS SYSTEM, CITY OF","Current",1987-06-04,2025-01-26
"171",1336,"BERGER CITY NATURAL GAS SYSTEM","GD","ACTIVE",1336,"BERGER CITY NATURAL GAS SYSTEM","Current",1987-06-04,2025-01-26
"172",1344,"BERKSHIRE GAS CO","GD","ACTIVE",1344,"BERKSHIRE GAS CO","Current",1995-05-24,2025-01-26
"173",1360,"BERNIE MUNICIPAL SYSTEM, CITY OF","GD","ACTIVE",1360,"BERNIE MUNICIPAL SYSTEM, CITY OF","Current",1995-05-24,2025-01-26
"174",1376,"BERWICK, TOWN OF","GD","ACTIVE",1376,"BERWICK, TOWN OF","Current",1995-04-20,2025-01-26
"175",1384,"BESSEMER CITY MUNICIPAL SYSTEM, CITY OF","GD","ACTIVE",1384,"BESSEMER CITY MUNICIPAL SYSTEM, CITY OF","Current",1995-05-24,2025-01-26
"176",1392,"BETHANY MUNICIPAL GAS SYSTEM","GD","ACTIVE",1392,"BETHANY MUNICIPAL GAS SYSTEM","Current",1995-04-20,2025-01-26
"177",1400,"BETHANY MUNICIPAL GAS SYSTEM","GD","ACTIVE",1400,"BETHANY MUNICIPAL GAS SYSTEM","Current",1995-05-24,2025-01-26
"178",1408,"BIG LAKE GAS DEPT, CITY OF","GD","ACTIVE",1408,"BIG LAKE GAS DEPT, CITY OF","Current",1995-04-20,2025-01-26
"179",1448,"BILLINGS GAS CO, TOWN OF","GD","ACTIVE",1448,"BILLINGS GAS CO, TOWN OF","Current",1995-04-20,2025-01-26
"180",1456,"BISMARCK GAS SYSTEM, CITY OF","GD","ACTIVE",1456,"BISMARCK GAS SYSTEM, CITY OF","Current",1995-05-24,2025-01-26
"181",1472,"BLACK MARLIN PIPELINE CO","GT","ACTIVE",30826,"Williams Field","Current",1995-05-03,2025-01-26
"182",1486,"BLACK WARRIOR TRANSMISSION CORP","GT","ACTIVE",1486,"BLACK WARRIOR TRANSMISSION CORP","Current",1995-04-20,2025-01-26
"183",1504,"BLACKSTONE GAS CO","GD","INACTIVE",1504,"BLACKSTONE GAS CO","Current",1995-04-20,2025-01-26
"184",1512,"CARDINAL NATURAL GAS NORTHERN DIV. - BLACKSVILLE","GD","INACTIVE",1512,"BLACKSVILLE OIL & GAS CO","Current",1995-05-24,2025-01-26
"185",1520,"BLAKELY GAS DEPT, CITY OF","GD","ACTIVE",1520,"BLAKELY GAS DEPT, CITY OF","Current",1995-05-24,2025-01-26
"186",1536,"BLOOMFIELD MUNICIPAL GAS, CITY OF","GD","ACTIVE",1536,"BLOOMFIELD MUNICIPAL GAS, CITY OF","Current",1995-04-20,2025-01-26
"187",1541,"HILCORP NORTH SLOPE, LLC","GT","ACTIVE",31189,"BP","Current",1987-06-04,2025-01-26
"188",1541,"HILCORP NORTH SLOPE, LLC","HL","ACTIVE",32645,"HILCORP ALASKA, LLC","Current",2020-07-01,2025-01-26
