Operator ID,Pdf,Operator Name,Report ID,Incident Date,Incident City,Incident County,Incident State,Significant?,Part System,Serious?,Public Evacuation?,HCA?,Onsite Response Time,Install Year Failed Item,Cause,SubCause,# of Fatalities,# of Injuries,Total Cost,Public Property Damage,Incident Year,InTER or InTRA,IM Safety Program
405,"<A target=""_blank"" HREF = ""/PDFGenerator/getPublicReport/ODES_GasTransmission.pdf?RPTID=30799 "" > Pdf</A>",ANR PIPELINE CO,20140106,2014-09-16,BENTON HARBOR,BERRIEN,MICHIGAN,Yes,"ONSHORE PIPELINE, INCLUDING VALVE SITES",No,Yes,No,94,1960,MATERIAL FAILURE OF PIPE OR WELD,ENVIRONMENTAL CRACKING-RELATED,0,0,4815000,80000,2014,INTERSTATE,TRANSCANADA
405,"<A target=""_blank"" HREF = ""/PDFGenerator/getPublicReport/ODES_GasTransmission.pdf?RPTID=31809 "" > Pdf</A>",ANR PIPELINE CO,20150100,2015-06-29,NOT WITHIN A MUNICIPALITY,OSCEOLA,MICHIGAN,Yes,"ONSHORE PIPELINE, INCLUDING VALVE SITES",No,No,No,0,1950,MATERIAL FAILURE OF PIPE OR WELD,ENVIRONMENTAL CRACKING-RELATED,0,0,3907400,50000,2015,INTERSTATE,TRANSCANADA
405,"<A target=""_blank"" HREF = ""/PDFGenerator/getPublicReport/ODES_GasTransmission.pdf?RPTID=35725 "" > Pdf</A>",ANR PIPELINE CO,20160062,2016-06-30,NOT WITHIN A MUNICIPALITY,SHELBY,INDIANA,Yes,"ONSHORE PIPELINE, INCLUDING VALVE SITES",No,No,No,58,1973,MATERIAL FAILURE OF PIPE OR WELD,"CONSTRUCTION, INSTALLATION OR FABRICATION-RELATED",0,0,410790,2500,2016,INTERSTATE,TRANSCANADA
405,"<A target=""_blank"" HREF = ""/PDFGenerator/getPublicReport/ODES_GasTransmission.pdf?RPTID=46365 "" > Pdf</A>",ANR PIPELINE CO,20160082,2016-09-07,NOT WITHIN A MUNICIPALITY,CUSTER,OKLAHOMA,Yes,"ONSHORE PIPELINE, INCLUDING VALVE SITES",No,No,No,50,,OTHER OUTSIDE FORCE DAMAGE,VEHICLE NOT ENGAGED IN EXCAVATION,0,0,134545,0,2016,INTERSTATE,TRANSCANADA
405,"<A target=""_blank"" HREF = ""/PDFGenerator/getPublicReport/ODES_GasTransmission.pdf?RPTID=50227 "" > Pdf</A>",ANR PIPELINE CO,20180126,2018-11-08,NOT WITHIN A MUNICIPALITY,JEFFERSON DAVIS,LOUISIANA,Yes,"ONSHORE PIPELINE, INCLUDING VALVE SITES",No,No,No,0,1956,MATERIAL FAILURE OF PIPE OR WELD,"CONSTRUCTION, INSTALLATION OR FABRICATION-RELATED",0,0,162001,12000,2018,INTERSTATE,TRANSCANADA
405,"<A target=""_blank"" HREF = ""/PDFGenerator/getPublicReport/ODES_GasTransmission.pdf?RPTID=9190 "" > Pdf</A>",ANR PIPELINE CO,20120025,2012-02-07,LAGRANGE,STEUBEN,INDIANA,Yes,"ONSHORE PIPELINE, INCLUDING VALVE SITES",No,Yes,No,15,1956,MATERIAL FAILURE OF PIPE OR WELD,MANUFACTURING-RELATED,0,0,763000,0,2012,INTERSTATE,TRANSCANADA
405,"<A target=""_blank"" HREF = ""/PDFGenerator/getPublicReport/ODES_GasTransmission.pdf?RPTID=9403 "" > Pdf</A>",ANR PIPELINE CO,20120014,2012-01-11,BARODA,BERRIEN,MICHIGAN,Yes,"ONSHORE PIPELINE, INCLUDING VALVE SITES",No,No,No,,1949,MATERIAL FAILURE OF PIPE OR WELD,"CONSTRUCTION, INSTALLATION OR FABRICATION-RELATED",0,0,368000,0,2012,INTERSTATE,TRANSCANADA
602,"<A target=""_blank"" HREF = ""/PDFGenerator/getPublicReport/ODES_GasTransmission.pdf?RPTID=19088 "" > Pdf</A>","ENABLE GAS TRANSMISSION, LLC",20130094,2013-10-01,HYDRO,CADDO,OKLAHOMA,Yes,"ONSHORE PIPELINE, INCLUDING VALVE SITES",No,No,No,42,1973,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,0,0,152625,0,2013,INTERSTATE,CENTERPOINT
602,"<A target=""_blank"" HREF = ""/PDFGenerator/getPublicReport/ODES_GasTransmission.pdf?RPTID=27147 "" > Pdf</A>","ENABLE GAS TRANSMISSION, LLC",20140134,2014-11-24,JESSIEVILLE,GARLAND,ARKANSAS,Yes,"ONSHORE PIPELINE, INCLUDING VALVE SITES",No,No,No,0,1967,MATERIAL FAILURE OF PIPE OR WELD,ENVIRONMENTAL CRACKING-RELATED,0,0,277865,0,2014,INTERSTATE,CENTERPOINT
602,"<A target=""_blank"" HREF = ""/PDFGenerator/getPublicReport/ODES_GasTransmission.pdf?RPTID=28305 "" > Pdf</A>","ENABLE GAS TRANSMISSION, LLC",20150124,2015-09-17,NOT WITHIN A MUNICIPALITY,UNION,ARKANSAS,Yes,"ONSHORE PIPELINE, INCLUDING VALVE SITES",No,No,No,-1082,1953,EXCAVATION DAMAGE,PREVIOUS DAMAGE DUE TO EXCAVATION,0,0,351152,0,2015,INTERSTATE,ENABLE MIDSTREAM
602,"<A target=""_blank"" HREF = ""/PDFGenerator/getPublicReport/ODES_GasTransmission.pdf?RPTID=33456 "" > Pdf</A>","ENABLE GAS TRANSMISSION, LLC",20160011,2015-12-28,NOT WITHIN A MUNICIPALITY,CRAWFORD,ARKANSAS,Yes,"ONSHORE PIPELINE, INCLUDING VALVE SITES",No,No,No,70,1986,NATURAL FORCE DAMAGE,HEAVY RAINS/FLOODS,0,0,619366,0,2015,INTERSTATE,ENABLE MIDSTREAM
602,"<A target=""_blank"" HREF = ""/PDFGenerator/getPublicReport/ODES_GasTransmission.pdf?RPTID=35746 "" > Pdf</A>","ENABLE GAS TRANSMISSION, LLC",20160034,2016-03-28,RUSSELLVILLE,POPE,ARKANSAS,Yes,"ONSHORE PIPELINE, INCLUDING VALVE SITES",No,No,No,46,1928,CORROSION,EXTERNAL,0,0,121661,0,2016,INTERSTATE,ENABLE MIDSTREAM
602,"<A target=""_blank"" HREF = ""/PDFGenerator/getPublicReport/ODES_GasTransmission.pdf?RPTID=40747 "" > Pdf</A>","ENABLE GAS TRANSMISSION, LLC",20170087,2017-09-11,BERNICE,CLAIBORNE,LOUISIANA,Yes,"ONSHORE PIPELINE, INCLUDING VALVE SITES",No,No,No,0,1942,CORROSION,EXTERNAL,0,0,194180,0,2017,INTERSTATE,ENABLE MIDSTREAM
602,"<A target=""_blank"" HREF = ""/PDFGenerator/getPublicReport/ODES_GasTransmission.pdf?RPTID=42846 "" > Pdf</A>","ENABLE GAS TRANSMISSION, LLC",20180008,2017-12-12,PITTSBURG,CAMP,TEXAS,Yes,"ONSHORE PIPELINE, INCLUDING VALVE SITES",No,No,No,0,1970,EQUIPMENT FAILURE,NON-THREADED CONNECTION FAILURE,0,0,114732,5000,2017,INTERSTATE,ENABLE MIDSTREAM
602,"<A target=""_blank"" HREF = ""/PDFGenerator/getPublicReport/ODES_GasTransmission.pdf?RPTID=46945 "" > Pdf</A>","ENABLE GAS TRANSMISSION, LLC",20180064,2018-05-28,SUBIACO,LOGAN,ARKANSAS,Yes,"ONSHORE PIPELINE, INCLUDING VALVE SITES",No,Yes,No,48,1954,EXCAVATION DAMAGE,PREVIOUS DAMAGE DUE TO EXCAVATION,0,0,138861,12000,2018,INTERSTATE,ENABLE MIDSTREAM
602,"<A target=""_blank"" HREF = ""/PDFGenerator/getPublicReport/ODES_GasTransmission.pdf?RPTID=51430 "" > Pdf</A>","ENABLE GAS TRANSMISSION, LLC",20190007,2018-12-27,NASHVILLE,HOWARD,ARKANSAS,Yes,"ONSHORE PIPELINE, INCLUDING VALVE SITES",No,No,No,75,1963,NATURAL FORCE DAMAGE,LIGHTNING,0,0,170834,0,2018,INTERSTATE,ENABLE MIDSTREAM
602,"<A target=""_blank"" HREF = ""/PDFGenerator/getPublicReport/ODES_GasTransmission.pdf?RPTID=52431 "" > Pdf</A>","ENABLE GAS TRANSMISSION, LLC",20190014,2019-01-18,NEW BOSTON,BOWIE,TEXAS,Yes,"ONSHORE PIPELINE, INCLUDING VALVE SITES",No,No,No,0,1953,MATERIAL FAILURE OF PIPE OR WELD,"CONSTRUCTION, INSTALLATION OR FABRICATION-RELATED",0,0,181060,1000,2019,INTERSTATE,ENABLE MIDSTREAM
602,"<A target=""_blank"" HREF = ""/PDFGenerator/getPublicReport/ODES_GasTransmission.pdf?RPTID=57485 "" > Pdf</A>","ENABLE GAS TRANSMISSION, LLC",20190088,2019-07-10,BATESVILLE,INDEPENDENCE,ARKANSAS,Yes,"ONSHORE PIPELINE, INCLUDING VALVE SITES",No,No,No,0,1977,MATERIAL FAILURE OF PIPE OR WELD,"CONSTRUCTION, INSTALLATION OR FABRICATION-RELATED",0,0,162200,2000,2019,INTERSTATE,ENABLE MIDSTREAM
602,"<A target=""_blank"" HREF = ""/PDFGenerator/getPublicReport/ODES_GasTransmission.pdf?RPTID=72825 "" > Pdf</A>","ENABLE GAS TRANSMISSION, LLC",20190064,2019-05-02,HOT SPRINGS VILLAGE,GARLAND,ARKANSAS,Yes,"ONSHORE PIPELINE, INCLUDING VALVE SITES",No,Yes,No,130,1973,MATERIAL FAILURE OF PIPE OR WELD,ENVIRONMENTAL CRACKING-RELATED,0,0,4995198,86421,2019,INTERSTATE,ENABLE MIDSTREAM
602,"<A target=""_blank"" HREF = ""/PDFGenerator/getPublicReport/ODES_GasTransmission.pdf?RPTID=82506 "" > Pdf</A>","ENABLE GAS TRANSMISSION, LLC",20200034,2020-03-26,GREENWOOD,CADDO,LOUISIANA,Yes,"ONSHORE PIPELINE, INCLUDING VALVE SITES",No,No,No,116,1950,CORROSION,EXTERNAL,0,0,449750,0,2020,INTERSTATE,ENABLE MIDSTREAM
602,"<A target=""_blank"" HREF = ""/PDFGenerator/getPublicReport/ODES_GasTransmission.pdf?RPTID=89645 "" > Pdf</A>","ENABLE GAS TRANSMISSION, LLC",20200052,2020-04-16,GREENBRIAR,CLEBURNE,ARKANSAS,Yes,"ONSHORE PIPELINE, INCLUDING VALVE SITES",No,No,No,0,1957,MATERIAL FAILURE OF PIPE OR WELD,"CONSTRUCTION, INSTALLATION OR FABRICATION-RELATED",0,0,124148,0,2020,INTERSTATE,ENABLE MIDSTREAM
602,"<A target=""_blank"" HREF = ""/PDFGenerator/getPublicReport/ODES_GasTransmission.pdf?RPTID=95668 "" > Pdf</A>","ENABLE GAS TRANSMISSION, LLC",20210006,2020-12-18,IDA,CADDO,LOUISIANA,Yes,"ONSHORE PIPELINE, INCLUDING VALVE SITES",No,No,No,78,1947,MATERIAL FAILURE OF PIPE OR WELD,"CONSTRUCTION, INSTALLATION OR FABRICATION-RELATED",0,0,192019,0,2020,INTERSTATE,ENABLE MIDSTREAM
602,"<A target=""_blank"" HREF = ""/PDFGenerator/getPublicReport/ODES_GasTransmission.pdf?RPTID=98054 "" > Pdf</A>","ENABLE GAS TRANSMISSION, LLC",20210086,2021-09-14,SMACKOVER,CALHOUN,ARKANSAS,Yes,"ONSHORE PIPELINE, INCLUDING VALVE SITES",No,No,No,30,,EQUIPMENT FAILURE,THREADED CONNECTION/COUPLING FAILURE,0,0,147907,0,2021,INTERSTATE,ENABLE MIDSTREAM
792,"<A target=""_blank"" HREF = ""/PDFGenerator/getPublicReport/ODES_GasTransmission.pdf?RPTID=28147 "" > Pdf</A>",ATLANTA GAS LIGHT CO,20150021,2015-01-17,RIVERDALE,CLAYTON,GEORGIA,Yes,"ONSHORE PIPELINE, INCLUDING VALVE SITES",No,Yes,Yes,23,2012,EQUIPMENT FAILURE,NON-THREADED CONNECTION FAILURE,0,0,322077,0,2015,INTRASTATE,ATLANTA GAS LIGHT
840,"<A target=""_blank"" HREF = ""/PDFGenerator/getPublicReport/ODES_GasTransmission.pdf?RPTID=15406 "" > Pdf</A>",MOJAVE PIPELINE OPERATING COMPANY,20120058,2012-05-02,ARVIN,KERN,CALIFORNIA,Yes,"ONSHORE PIPELINE, INCLUDING VALVE SITES",No,No,No,0,1992,EQUIPMENT FAILURE,OTHER EQUIPMENT FAILURE,0,0,1475643,16000,2012,INTERSTATE,KINDER MORGAN
1007,"<A target=""_blank"" HREF = ""/PDFGenerator/getPublicReport/ODES_GasTransmission.pdf?RPTID=12267 "" > Pdf</A>","TALLGRASS INTERSTATE GAS TRANSMISSION, LLC",20130043,2013-05-04,UNINCORPORATED,KIMBALL,NEBRASKA,Yes,"ONSHORE PIPELINE, INCLUDING VALVE SITES",No,No,No,134,1954,MATERIAL FAILURE OF PIPE OR WELD,MANUFACTURING-RELATED,0,0,496500,500,2013,INTERSTATE,TALLGRASS
1007,"<A target=""_blank"" HREF = ""/PDFGenerator/getPublicReport/ODES_GasTransmission.pdf?RPTID=52085 "" > Pdf</A>","TALLGRASS INTERSTATE GAS TRANSMISSION, LLC",20130064,2013-06-13,UNINCORPORATED,GOSHEN,WYOMING,Yes,"ONSHORE PIPELINE, INCLUDING VALVE SITES",No,No,No,12,1963,MATERIAL FAILURE OF PIPE OR WELD,ENVIRONMENTAL CRACKING-RELATED,0,0,260692,0,2013,INTERSTATE,TALLGRASS
1217,"<A target=""_blank"" HREF = ""/PDFGenerator/getPublicReport/ODES_GasTransmission.pdf?RPTID=72425 "" > Pdf</A>",BEAR CREEK STORAGE CO,20190115,2019-09-26,BIENVILLE,BIENVILLE,LOUISIANA,Yes,"ONSHORE PIPELINE, INCLUDING VALVE SITES",No,No,No,0,1979,CORROSION,INTERNAL,0,0,220969,0,2019,INTERSTATE,KINDER MORGAN
2564,"<A target=""_blank"" HREF = ""/PDFGenerator/getPublicReport/ODES_GasTransmission.pdf?RPTID=58465 "" > Pdf</A>",COLORADO INTERSTATE GAS CO,20190065,2019-05-02,FORT MORGAN,MORGAN,COLORADO,Yes,"ONSHORE PIPELINE, INCLUDING VALVE SITES",No,No,No,34,1959,OTHER OUTSIDE FORCE DAMAGE,VEHICLE NOT ENGAGED IN EXCAVATION,0,0,108084,0,2019,INTERSTATE,KINDER MORGAN
2596,"<A target=""_blank"" HREF = ""/PDFGenerator/getPublicReport/ODES_GasTransmission.pdf?RPTID=21823 "" > Pdf</A>",COLUMBIA GAS OF OHIO INC,20140048,2014-01-23,ORIENT,PICKAWAY,OHIO,Yes,"ONSHORE PIPELINE, INCLUDING VALVE SITES",No,No,No,35,1988,OTHER OUTSIDE FORCE DAMAGE,VEHICLE NOT ENGAGED IN EXCAVATION,0,0,301128,0,2014,INTRASTATE,COLUMBIA GAS OF OHIO INC
2616,"<A target=""_blank"" HREF = ""/PDFGenerator/getPublicReport/ODES_GasTransmission.pdf?RPTID=100300 "" > Pdf</A>","COLUMBIA GAS TRANSMISSION, LLC",20200130,2020-11-11,CLAYSVILLE,WASHINGTON,PENNSYLVANIA,Yes,"ONSHORE PIPELINE, INCLUDING VALVE SITES",No,No,No,49,1948,CORROSION,EXTERNAL,0,0,574571,0,2020,INTERSTATE,TRANSCANADA
2616,"<A target=""_blank"" HREF = ""/PDFGenerator/getPublicReport/ODES_GasTransmission.pdf?RPTID=22044 "" > Pdf</A>","COLUMBIA GAS TRANSMISSION, LLC",20130001,2012-12-11,SISSONVILLE,KANAWHA,WEST VIRGINIA,Yes,"ONSHORE PIPELINE, INCLUDING VALVE SITES",No,Yes,No,27,1967,CORROSION,EXTERNAL,0,0,4376218,3280000,2012,INTERSTATE,NISOURCE
2616,"<A target=""_blank"" HREF = ""/PDFGenerator/getPublicReport/ODES_GasTransmission.pdf?RPTID=29965 "" > Pdf</A>","COLUMBIA GAS TRANSMISSION, LLC",20140128,2014-10-15,TOWN OF SOUTH BLOOMINGVILLE,HOCKING COUNTY,OHIO,Yes,"ONSHORE PIPELINE, INCLUDING VALVE SITES",No,No,No,10,1968,CORROSION,EXTERNAL,0,0,330376,0,2014,INTERSTATE,NISOURCE
2616,"<A target=""_blank"" HREF = ""/PDFGenerator/getPublicReport/ODES_GasTransmission.pdf?RPTID=35669 "" > Pdf</A>","COLUMBIA GAS TRANSMISSION, LLC",20150117,2015-09-08,PIKEVILLE,PIKE,KENTUCKY,Yes,"ONSHORE PIPELINE, INCLUDING VALVE SITES",No,No,No,125,1999,NATURAL FORCE DAMAGE,EARTH MOVEMENT,0,0,355091,0,2015,INTERSTATE,NISOURCE
2616,"<A target=""_blank"" HREF = ""/PDFGenerator/getPublicReport/ODES_GasTransmission.pdf?RPTID=38510 "" > Pdf</A>","COLUMBIA GAS TRANSMISSION, LLC",20170022,2017-02-14,NOT WITHIN A MUNICIPALITY,MONTGOMERY,KENTUCKY,Yes,"ONSHORE PIPELINE, INCLUDING VALVE SITES",No,Yes,No,13,1969,MATERIAL FAILURE OF PIPE OR WELD,"CONSTRUCTION, INSTALLATION OR FABRICATION-RELATED",0,0,722350,20000,2017,INTERSTATE,NISOURCE
2616,"<A target=""_blank"" HREF = ""/PDFGenerator/getPublicReport/ODES_GasTransmission.pdf?RPTID=41468 "" > Pdf</A>","COLUMBIA GAS TRANSMISSION, LLC",20170070,2017-07-24,NOT WITHIN A MUNICIPALITY,STARK,OHIO,Yes,"ONSHORE PIPELINE, INCLUDING VALVE SITES",No,No,No,0,1967,INCORRECT OPERATION,DAMAGE BY OPERATOR OR OPERATOR’S CONTRACTOR,0,0,162457,6560,2017,INTERSTATE,NISOURCE
2616,"<A target=""_blank"" HREF = ""/PDFGenerator/getPublicReport/ODES_GasTransmission.pdf?RPTID=49725 "" > Pdf</A>","COLUMBIA GAS TRANSMISSION, LLC",20180096,2018-08-27,MATHIAS,HARDY,WEST VIRGINIA,Yes,"ONSHORE PIPELINE, INCLUDING VALVE SITES",No,Yes,No,0,2017,EQUIPMENT FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,0,0,124685,0,2018,INTERSTATE,TRANSCANADA
2616,"<A target=""_blank"" HREF = ""/PDFGenerator/getPublicReport/ODES_GasTransmission.pdf?RPTID=50065 "" > Pdf</A>","COLUMBIA GAS TRANSMISSION, LLC",20180047,2018-04-03,NOT WITHIN A MUNICIPALITY,HOCKING,OHIO,Yes,"ONSHORE PIPELINE, INCLUDING VALVE SITES",No,No,No,69,1981,NATURAL FORCE DAMAGE,HEAVY RAINS/FLOODS,0,0,1380539,0,2018,INTERSTATE,TRANSCANADA
2616,"<A target=""_blank"" HREF = ""/PDFGenerator/getPublicReport/ODES_GasTransmission.pdf?RPTID=50485 "" > Pdf</A>","COLUMBIA GAS TRANSMISSION, LLC",20180067,2018-06-07,MOUNDSVILLE,MARSHALL,WEST VIRGINIA,Yes,"ONSHORE PIPELINE, INCLUDING VALVE SITES",No,No,No,83,2017,NATURAL FORCE DAMAGE,EARTH MOVEMENT,0,0,20384634,600000,2018,INTERSTATE,TRANSCANADA
2616,"<A target=""_blank"" HREF = ""/PDFGenerator/getPublicReport/ODES_GasTransmission.pdf?RPTID=57325 "" > Pdf</A>","COLUMBIA GAS TRANSMISSION, LLC",20190079,2019-06-07,SPRINGFIELD,CLARK,OHIO,Yes,"ONSHORE PIPELINE, INCLUDING VALVE SITES",No,No,No,0,1955,CORROSION,EXTERNAL,0,0,300840,0,2019,INTERSTATE,TRANSCANADA
2616,"<A target=""_blank"" HREF = ""/PDFGenerator/getPublicReport/ODES_GasTransmission.pdf?RPTID=72006 "" > Pdf</A>","COLUMBIA GAS TRANSMISSION, LLC",20190090,2019-07-09,VANCEBURG,LEWIS,KENTUCKY,Yes,"ONSHORE PIPELINE, INCLUDING VALVE SITES",No,No,No,196,1995,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,0,0,313326,0,2019,INTERSTATE,TRANSCANADA
2616,"<A target=""_blank"" HREF = ""/PDFGenerator/getPublicReport/ODES_GasTransmission.pdf?RPTID=79205 "" > Pdf</A>","COLUMBIA GAS TRANSMISSION, LLC",20200035,2020-03-24,IRVINE,ESTILL,KENTUCKY,Yes,"ONSHORE PIPELINE, INCLUDING VALVE SITES",No,No,No,0,1990,CORROSION,EXTERNAL,0,0,296363,0,2020,INTERSTATE,TRANSCANADA
2616,"<A target=""_blank"" HREF = ""/PDFGenerator/getPublicReport/ODES_GasTransmission.pdf?RPTID=82405 "" > Pdf</A>","COLUMBIA GAS TRANSMISSION, LLC",20200062,2020-05-22,WHEELERSBURG,SCIOTO,OHIO,Yes,"ONSHORE PIPELINE, INCLUDING VALVE SITES",No,Yes,No,71,1986,OTHER OUTSIDE FORCE DAMAGE,VEHICLE NOT ENGAGED IN EXCAVATION,0,0,587721,19000,2020,INTERSTATE,TRANSCANADA
2616,"<A target=""_blank"" HREF = ""/PDFGenerator/getPublicReport/ODES_GasTransmission.pdf?RPTID=84765 "" > Pdf</A>","COLUMBIA GAS TRANSMISSION, LLC",20190130,2019-11-17,WELLINGTON,LORAIN,OHIO,Yes,"ONSHORE PIPELINE, INCLUDING VALVE SITES",No,Yes,Yes,38,2014,EQUIPMENT FAILURE,NON-THREADED CONNECTION FAILURE,0,0,270257,257000,2019,INTERSTATE,TRANSCANADA
2616,"<A target=""_blank"" HREF = ""/PDFGenerator/getPublicReport/ODES_GasTransmission.pdf?RPTID=86566 "" > Pdf</A>","COLUMBIA GAS TRANSMISSION, LLC",20190052,2019-03-25,RICHMOND,RICHMOND,VIRGINIA,Yes,"ONSHORE PIPELINE, INCLUDING VALVE SITES",No,No,No,0,1951,CORROSION,EXTERNAL,0,0,830220,0,2019,INTERSTATE,TRANSCANADA
2616,"<A target=""_blank"" HREF = ""/PDFGenerator/getPublicReport/ODES_GasTransmission.pdf?RPTID=88645 "" > Pdf</A>","COLUMBIA GAS TRANSMISSION, LLC",20190108,2019-08-21,NOT WITHIN A MUNICIPALITY,ARMSTRONG,PENNSYLVANIA,Yes,"ONSHORE PIPELINE, INCLUDING VALVE SITES",No,No,No,322,1929,EQUIPMENT FAILURE,NON-THREADED CONNECTION FAILURE,0,0,372329,0,2019,INTERSTATE,TRANSCANADA
2616,"<A target=""_blank"" HREF = ""/PDFGenerator/getPublicReport/ODES_GasTransmission.pdf?RPTID=90365 "" > Pdf</A>","COLUMBIA GAS TRANSMISSION, LLC",20200085,2020-07-25,NOT WITHIN A MUNICIPALITY,WYOMING COUNTY,WEST VIRGINIA,Yes,"ONSHORE PIPELINE, INCLUDING VALVE SITES",No,No,No,620,1933,CORROSION,EXTERNAL,0,0,300571,0,2020,INTERSTATE,TRANSCANADA
2616,"<A target=""_blank"" HREF = ""/PDFGenerator/getPublicReport/ODES_GasTransmission.pdf?RPTID=95266 "" > Pdf</A>","COLUMBIA GAS TRANSMISSION, LLC",20200037,2020-03-26,NEWCOMERSTOWN,TUSCARAWAS,OHIO,Yes,"ONSHORE PIPELINE, INCLUDING VALVE SITES",No,No,No,73,1954,CORROSION,EXTERNAL,0,0,2272952,0,2020,INTERSTATE,TRANSCANADA
