sub.id,sub.name,sub.sys,pri.id,pri.name
342,"ALMA NATURAL  GAS SYSTEMS, CITY OF",GD,342,"ALMA NATURAL GAS SYSTEMS, CITY OF"
360,"ALTAMONT GAS DEPT, CITY OF",GD,360,"ALTAMONT GAS DEPT, CITY OF"
383,AMARILLO NATURAL GAS INC,GD,383,AMARILLO NATURAL GAS INC
383,AMARILLO NATURAL GAS INC,GT,383,AMARILLO NATURAL GAS INC
386,HESS CORP,GT,401,HESS CORPORATION
387,"ALTO NATURAL GAS CO, CITY OF",GD,387,"ALTO NATURAL GAS CO, CITY OF"
395,AMOCO OIL CO,HL,31189,BP
401,HESS CORPORATION,HL,386,HESS CORP
402,"MARKWEST ENERGY EAST TEXAS GAS COMPANY, L.L.C.",GT,402,"MARKWEST EAST TEXAS PNG UTILITY, LLC"
402,"MARKWEST ENERGY EAST TEXAS GAS COMPANY, L.L.C.",HL,402,"MARKWEST EAST TEXAS PNG UTILITY, LLC"
405,ANR PIPELINE CO,GT,405,TransCanada
405,ANR PIPELINE CO,UNGS,405,TransCanada
414,"HAINES GAS COMPANY, INC.",GD,414,"HAINES GAS COMPANY, INC."
423,AMERICUS UTILITY COMMISSION,GD,423,AMERICUS UTILITY COMMISSION
473,"WESTERN MIDSTREAM PARTNERS, LP",GD,473,ANADARKO PETROLEUM CORP
473,"WESTERN MIDSTREAM PARTNERS, LP",GT,473,ANADARKO PETROLEUM CORP
473,"WESTERN MIDSTREAM PARTNERS, LP",HL,473,ANADARKO PETROLEUM CORP
495,"ANDERSONVILLE GAS SYSTEM, CITY OF",GD,495,"ANDERSONVILLE GAS SYSTEM, CITY OF"
504,ANDREASSI GAS COMPANY,GD,504,ANDREASSI GAS COMPANY
515,DAKOTA GASIFICATION COMPANY,GT,515,DAKOTA GASIFICATION COMPANY
515,DAKOTA GASIFICATION COMPANY,HL,515,DAKOTA GASIFICATION COMPANY
522,ANNA MUNICIPAL GAS CO,GD,522,ANNA MUNICIPAL GAS CO
558,APPLEBY NATURAL GAS SYSTEM,GD,558,APPLEBY NATURAL GAS SYSTEM
570,FERNDALE PIPELINE SYSTEM,GT,31189,BP
576,"ARGONIA MUNICIPAL SYSTEM, CITY OF",GD,576,"ARGONIA MUNICIPAL SYSTEM, CITY OF"
585,ARGYLE MUNICIPAL GAS SYSTEM,GD,585,ARGYLE MUNICIPAL GAS SYSTEM
585,ARGYLE MUNICIPAL GAS SYSTEM,GT,585,ARGYLE MUNICIPAL GAS SYSTEM
602,"ENABLE GAS TRANSMISSION, LLC",GT,32099,Energy Transfer
602,"ENABLE GAS TRANSMISSION, LLC",GT,31202,Enable Midstream
602,"ENABLE GAS TRANSMISSION, LLC",GT,602,CenterPoint
602,"ENABLE GAS TRANSMISSION, LLC",UNGS,32099,Energy Transfer
602,"ENABLE GAS TRANSMISSION, LLC",UNGS,31202,Enable Midstream
603,SUMMIT UTILITIES INC.,GD,603,CENTERPOINT ENERGY RESOURCES CORP.
603,SUMMIT UTILITIES INC.,GT,603,CENTERPOINT ENERGY RESOURCES CORP.
612,CITY OF ROCKPORT,GD,612,CITY OF ROCKPORT
621,ARKANSAS OKLAHOMA GAS CORP,GD,621,ARKANSAS OKLAHOMA GAS CORP
621,ARKANSAS OKLAHOMA GAS CORP,GT,621,ARKANSAS OKLAHOMA GAS CORP
630,SOURCEGAS ARKANSAS INC.,GD,10030,SourceGas
630,SOURCEGAS ARKANSAS INC.,GT,10030,SourceGas
648,"ARLINGTON GAS SYSTEM, CITY OF",GD,648,New Commonwealth
660,"ARLINGTON ENERGY GROUP, LLC",GT,660,"ARLINGTON GAS PIPELINE CO, LP"
666,ARLINGTON NATURAL GAS CO,GD,666,ARLINGTON NATURAL GAS CO
675,"ARNAUDVILLE MUNICIPLE SYSTEM, TOWN OF",GD,675,"ARNAUDVILLE MUNICIPLE SYSTEM, TOWN OF"
702,"ASHBURN GAS DEPT, CITY OF",GD,702,"ASHBURN GAS DEPT, CITY OF"
729,"ASHLAND MUNICIPAL GAS, TOWN OF",GD,729,"ASHLAND MUNICIPAL GAS, TOWN OF"
766,ATHENS GAS DEPARTMENT,GD,766,ATHENS GAS DEPARTMENT
774,ATHENS UTILITIES BOARD,GD,774,ATHENS UTILITIES BOARD
792,ATLANTA GAS LIGHT CO,GD,792,Atlanta Gas Light
792,ATLANTA GAS LIGHT CO,GT,792,Atlanta Gas Light
828,"WEST ESCAMBIA UTILITIES, INC.",GD,828,"ATMORE UTILITIES BOARD, CITY OF"
837,"ATTICA GAS DEPT, CITY OF",GD,837,"ATTICA GAS DEPT, CITY OF"
840,MOJAVE PIPELINE OPERATING COMPANY,GT,2564,Kinder Morgan
842,AIR LIQUIDE LARGE INDUSTRIES U.S. LP,GD,842,AIR LIQUIDE LARGE INDUSTRIES U.S. LP
842,AIR LIQUIDE LARGE INDUSTRIES U.S. LP,GT,842,AIR LIQUIDE LARGE INDUSTRIES U.S. LP
844,KERN RIVER GAS TRANSMISSION CO,GT,844,KERN RIVER GAS TRANSMISSION CO
846,"AUBURN, CITY OF",GD,846,"AUBURN, CITY OF"
855,"AUBURN GAS DEPT, CITY OF",GD,855,"AUBURN GAS DEPT, CITY OF"
857,"MARKWEST PINNACLE, L.L.C.",GT,857,"MARKWEST PINNACLE PNG UTILITY, LLC"
860,"FAIRBANK, CITY OF",GD,860,"FAIRBANK, CITY OF"
860,"FAIRBANK, CITY OF",GT,860,"FAIRBANK, CITY OF"
861,NEWFIELD EXPLORATION COMPANY,GT,861,NEWFIELD EXPLORATION COMPANY
864,"AUGUSTA, CITY OF",GD,864,"AUGUSTA, CITY OF"
872,LAFITTE GAS PIPELINE,GT,872,LAFITTE GAS PIPELINE
873,"AUGUSTA LIGHT WATER & GAS, CITY OF",GD,873,"AUGUSTA LIGHT WATER & GAS, CITY OF"
878,EAST KENTUCKY MIDSTREAM,GT,878,"JEFFERSON GAS, LLC"
879,CHEMOIL TERMINALS LLC,HL,879,CHEMOIL TERMINALS CORP.
882,"AURORA GAS SYSTEMS, CITY OF",GD,882,"AURORA GAS SYSTEMS, CITY OF"
883,WESTBROOK PUBLIC UTILITIES,GD,883,WESTBROOK PUBLIC UTILITIES
885,AURORA GAS CO,GD,885,AURORA GAS CO
887,Onalaska Water and Gas Supply,GD,887,Onalaska Water and Gas Supply
888,COMMUNITY UTILITIES CO.,GD,888,COMMUNITY UTILITIES CO.
891,AURORA UTILITIES,GD,891,AURORA UTILITIES
893,STUART GAS CO,GD,893,STUART GAS CO
895,KEYSTONE RURAL GAS DISTRICT #1,GD,895,KEYSTONE RURAL GAS DISTRICT #1
899,5P GAS PIPELINE COMPANY,GT,899,5P GAS PIPELINE COMPANY
909,"AUSTELL NATURAL GAS SYSTEM, CITY OF",GD,909,"AUSTELL NATURAL GAS SYSTEM, CITY OF"
918,AUSTIN UTILITIES,GD,918,AUSTIN UTILITIES
920,NATGAS INC.,GD,920,NATGAS INC.
924,"ST. JAMES GAS DEPT., CITY OF",GD,924,"ST. JAMES GAS DEPT., CITY OF"
926,OMEGA PIPELINE CO,GD,926,OMEGA PIPELINE CO
927,AUXIER ROAD GAS CO INC,GD,32601,KENTUCKY FRONTIER
929,"SEBRING GAS SYSTEM, INC",GD,929,"SEBRING GAS SYSTEM, INC"
929,"SEBRING GAS SYSTEM, INC",GT,929,"SEBRING GAS SYSTEM, INC"
933,AVANT UTILITIES AUTH,GD,933,AVANT UTILITIES AUTH
952,ENERFIN RESOURCES II-92 LIMITED PARTNERSHIP,GT,952,ENERFIN RESOURCES II-92 LIMITED PARTNERSHIP
967,"PINEDALE NATURAL GAS, INC",GD,967,"PINEDALE NATURAL GAS, INC"
967,"PINEDALE NATURAL GAS, INC",GT,967,"PINEDALE NATURAL GAS, INC"
968,"UNIVERSAL NATURAL GAS, INC.",GD,968,TX Gas
969,BALDWYN MUN GAS SYST,GD,969,BALDWYN MUN GAS SYST
972,"CLIFTON GAS DEPT, CITY OF",GD,972,"CLIFTON GAS DEPT, CITY OF"
976,"BURKESVILLE GAS CO, INC.",GD,976,Burkesville
977,"LAKIN, CITY OF",GT,977,"LAKIN, CITY OF"
978,LAWRENCE PAPER CO,GD,978,LAWRENCE PAPER CO
978,LAWRENCE PAPER CO,GT,978,LAWRENCE PAPER CO
980,APPALACHIAN NATURAL GAS DISTRIBUTION COMPANY,GD,980,APPALACHIAN NATURAL GAS DISTRIBUTION COMPANY
980,APPALACHIAN NATURAL GAS DISTRIBUTION COMPANY,GT,980,APPALACHIAN NATURAL GAS DISTRIBUTION COMPANY
986,HARTLEY MUNICIPAL UTILITIES,GD,986,HARTLEY MUNICIPAL UTILITIES
993,CROSSROADS PIPELINE COMPANY,GT,405,TransCanada
993,CROSSROADS PIPELINE COMPANY,GT,2616,NiSource
994,"WILLIAMS FIELD SERVICES - GULF COAST COMPANY, LP",GT,30826,Williams Field
994,"WILLIAMS FIELD SERVICES - GULF COAST COMPANY, LP",HL,30826,Williams Field
997,MIDWAY SUNSET COGENERATION CO,GT,997,MIDWAY SUNSET COGENERATION CO
999,"PACIFIC COAST ENERGY COMPANY, LP",HL,999,Breitburn
1007,"TALLGRASS INTERSTATE GAS TRANSMISSION, LLC",GT,1007,Tallgrass
1007,"TALLGRASS INTERSTATE GAS TRANSMISSION, LLC",UNGS,1007,Tallgrass
1031,ONYX PIPELINE CO,GD,1031,ONYX PIPELINE CO
1031,ONYX PIPELINE CO,GT,1031,ONYX PIPELINE CO
1042,J CLEO THOMPSON,GT,1042,J CLEO THOMPSON
1048,"BAINBRIDGE GAS DEPT, CITY OF",GD,1048,"BAINBRIDGE GAS DEPT, CITY OF"
1056,BAINBRIDGE MUNICIPAL GAS,GD,1056,BAINBRIDGE MUNICIPAL GAS
1064,BAKER UTILITY SYSTEM,GD,1064,BAKER UTILITY SYSTEM
1072,"BALDWIN MUNICIPAL SYSTEM, TOWN OF",GD,1072,"BALDWIN MUNICIPAL SYSTEM, TOWN OF"
1088,BALTIMORE GAS AND ELECTRIC COMPANY,GD,1088,BALTIMORE GAS & ELECTRIC CO
1088,BALTIMORE GAS AND ELECTRIC COMPANY,GT,1088,BALTIMORE GAS & ELECTRIC CO
1096,BAMBERG BOARD OF PUBLIC WORKS,GD,1096,BAMBERG BOARD OF PUBLIC WORKS
1120,"BARDWELL GAS SYSTEM, CITY OF",GD,1120,"BARDWELL GAS SYSTEM, CITY OF"
1128,BARLOW NATURAL GAS SYSTEM,GD,648,New Commonwealth
1134,BARROW UTILITIES & ELECTRIC CORP,GD,1134,BARROW UTILITIES & ELECTRIC CORP
1136,"BASILE, TOWN OF",GD,1136,"BASILE, TOWN OF"
1152,"BATESVILLE GAS DEPT, CITY OF",GD,1152,"BATESVILLE GAS DEPT, CITY OF"
1160,BATESVILLE GAS UTILITY,GD,1160,BATESVILLE GAS UTILITY
1168,BATH ELECTRIC GAS & WATER SYSTEMS,GD,1168,BATH ELECTRIC GAS & WATER SYSTEMS
1184,BAY CITY MUNICIPAL GAS SYSTEM,GD,1184,BAY CITY MUNICIPAL GAS SYSTEM
1192,NORTH BALDWIN UTILITIES,GD,1192,NORTH BALDWIN UTILITIES
1200,"BAY ST LOUIS MUNICIPLE GAS, CITY OF",GD,1200,"BAY ST LOUIS MUNICIPLE GAS, CITY OF"
1208,"BAY SPRINGS NATURAL GAS SYSTEM, TOWN OF",GD,1208,"BAY SPRINGS NATURAL GAS SYSTEM, TOWN OF"
1209,COLUMBIA GAS OF MASSACHUSETTS,GD,1209,COLUMBIA GAS OF MASSACHUSETTS
1209,COLUMBIA GAS OF MASSACHUSETTS,GT,1209,COLUMBIA GAS OF MASSACHUSETTS
1217,BEAR CREEK STORAGE CO,GT,2564,Kinder Morgan
1217,BEAR CREEK STORAGE CO,UNGS,2564,Kinder Morgan
1224,"BEAUMONT MUNICIPAL GAS, TOWN OF",GD,1224,"BEAUMONT MUNICIPAL GAS, TOWN OF"
1232,BEDFORD NATURAL GAS SYSTEM,GD,1232,BEDFORD NATURAL GAS SYSTEM
1232,BEDFORD NATURAL GAS SYSTEM,GT,1232,BEDFORD NATURAL GAS SYSTEM
1240,BELFRY GAS INC,GD,32601,KENTUCKY FRONTIER
1248,BELLE FOURCHE PIPELINE CO,HL,1248,Belle Fourche Pipeline Co.
1256,BELLE RIVE GAS CO,GD,1256,BELLE RIVE GAS CO
1272,"BELLVILLE, CITY OF",GD,1272,"BELLVILLE, CITY OF"
1280,"BELMONT NATURAL GAS SYSTEM, TOWN OF",GD,1280,"BELMONT NATURAL GAS SYSTEM, TOWN OF"
1304,"BENNETTSVILLE ELECTRIC & GAS, CITY OF",GD,1304,"BENNETTSVILLE ELECTRIC & GAS, CITY OF"
1312,CITY OF BENSON,GD,1312,CITY OF BENSON
1328,"BENTON GAS SYSTEM, CITY OF",GD,1328,"BENTON GAS SYSTEM, CITY OF"
1336,BERGER CITY NATURAL GAS SYSTEM,GD,1336,BERGER CITY NATURAL GAS SYSTEM
1344,BERKSHIRE GAS CO,GD,1344,BERKSHIRE GAS CO
1360,"BERNIE MUNICIPAL SYSTEM, CITY OF",GD,1360,"BERNIE MUNICIPAL SYSTEM, CITY OF"
1376,"BERWICK, TOWN OF",GD,1376,"BERWICK, TOWN OF"
1384,"BESSEMER CITY MUNICIPAL SYSTEM, CITY OF",GD,1384,"BESSEMER CITY MUNICIPAL SYSTEM, CITY OF"
1392,BETHANY MUNICIPAL GAS SYSTEM,GD,1392,BETHANY MUNICIPAL GAS SYSTEM
1400,BETHANY MUNICIPAL GAS SYSTEM,GD,1400,BETHANY MUNICIPAL GAS SYSTEM
1408,"BIG LAKE GAS DEPT, CITY OF",GD,1408,"BIG LAKE GAS DEPT, CITY OF"
1448,"BILLINGS GAS CO, TOWN OF",GD,1448,"BILLINGS GAS CO, TOWN OF"
1456,"BISMARCK GAS SYSTEM, CITY OF",GD,1456,"BISMARCK GAS SYSTEM, CITY OF"
1472,BLACK MARLIN PIPELINE CO,GT,30826,Williams Field
1486,BLACK WARRIOR TRANSMISSION CORP,GT,1486,BLACK WARRIOR TRANSMISSION CORP
1504,BLACKSTONE GAS CO,GD,1504,BLACKSTONE GAS CO
1512,CARDINAL NATURAL GAS NORTHERN DIV. - BLACKSVILLE,GD,1512,BLACKSVILLE OIL & GAS CO
1520,"BLAKELY GAS DEPT, CITY OF",GD,1520,"BLAKELY GAS DEPT, CITY OF"
1536,"BLOOMFIELD MUNICIPAL GAS, CITY OF",GD,1536,"BLOOMFIELD MUNICIPAL GAS, CITY OF"
1541,"HILCORP NORTH SLOPE, LLC",GT,31189,BP
1541,"HILCORP NORTH SLOPE, LLC",HL,32645,"HILCORP ALASKA, LLC"
1541,"HILCORP NORTH SLOPE, LLC",HL,1541,BP
1544,"BLOUNTSTOWN, CITY OF",GD,1544,"BLOUNTSTOWN, CITY OF"
1552,BLUE DOLPHIN PIPELINE COMPANY,GT,1552,BLUE DOLPHIN PIPELINE COMPANY
1560,CARDINAL NATURAL GAS COMPANY,GD,1560,BLUEFIELD GAS CO
1568,BLUFORD MUNICIPAL GAS SYSTEM,GD,1568,BLUFORD MUNICIPAL GAS SYSTEM
1584,BOAZ GAS BOARD,GD,1584,BOAZ GAS BOARD
1592,"BOERNE UTILITY, CITY OF",GD,1592,"BOERNE UTILITY, CITY OF"
1616,BOLIVAR GAS DEPT,GD,1616,BOLIVAR GAS DEPT
1622,"BOOKER GAS CO, CITY OF",GD,1622,"BOOKER GAS CO, CITY OF"
1624,BOONEVILLE MUNICIPAL GAS SYSTEM,GD,1624,BOONEVILLE MUNICIPAL GAS SYSTEM
1632,BOONVILLE NATURAL GAS CORP,GD,1632,BOONVILLE NATURAL GAS CORP
1640,BOSTON GAS CO,GD,11713,National Grid
1640,BOSTON GAS CO,GT,11713,National Grid
1672,"BOWMAN GAS SYSTEM, CITY OF",GD,1672,"BOWMAN GAS SYSTEM, CITY OF"
1680,"BOYCE MUNICIPAL SYSTEM, TOWN OF",GD,1680,"BOYCE MUNICIPAL SYSTEM, TOWN OF"
1684,"BRACKETTVILLE, CITY OF, HOUSING AUTH OF",GD,1684,"BRACKETTVILLE, CITY OF, HOUSING AUTH OF"
1688,"BRADY MUNICIPAL GAS CORP, CITY OF",GD,1688,"BRADY MUNICIPAL GAS CORP, CITY OF"
1696,"BRAZORIA, CITY OF",GD,1696,"BRAZORIA, CITY OF"
1700,BRAZOS ELECTRIC POWER COOPERATIVE INC,GT,1700,BRAZOS ELECTRIC POWER COOPERATIVE INC
1712,BREAUX BRIDGE GAS SYSTEM,GD,1712,BREAUX BRIDGE GAS SYSTEM
1720,"BRENHAM UTILITY, CITY OF",GD,1720,"BRENHAM UTILITY, CITY OF"
1728,"BREWTON GAS DEPT, CITY OF",GD,1728,"BREWTON GAS DEPT, CITY OF"
1736,BRIDGEPORT UTILITIES BOARD,GD,1736,BRIDGEPORT UTILITIES BOARD
1752,BRIGHTON MUNICIPAL GAS SYSTEM,GD,1752,BRIGHTON MUNICIPAL GAS SYSTEM
1752,BRIGHTON MUNICIPAL GAS SYSTEM,GT,1752,BRIGHTON MUNICIPAL GAS SYSTEM
1792,BROOKLYN MUNICIPAL GAS CO,GD,1792,BROOKLYN MUNICIPAL GAS CO
1800,KEYSPAN ENERGY DELIVERY - NY CITY,GD,1800,KEYSPAN ENERGY DELIVERY - NY CITY
1800,KEYSPAN ENERGY DELIVERY - NY CITY,GT,1800,KEYSPAN ENERGY DELIVERY - NY CITY
1808,BROOKSIDE GAS SYSTEM,GD,1808,BROOKSIDE GAS SYSTEM
1816,"BROOKSVILLE UTILITIES, TOWN OF",GD,1816,"BROOKSVILLE UTILITIES, TOWN OF"
1840,BROWNSVILLE UTILITIES,GD,1840,BROWNSVILLE UTILITIES
1845,"BUCKEYE PARTNERS, LP",HL,1845,Buckeye
1848,"BUCKLEY GAS DEPT, CITY OF",GD,1848,"BUCKLEY GAS DEPT, CITY OF"
1872,"BUFORD GAS SYSTEM, CITY OF",GD,1872,"BUFORD GAS SYSTEM, CITY OF"
1888,BURBANK PUBLIC WORKS AUTHORITY,GD,1888,BURBANK MUNICIPAL SYSTEM
1912,BURLINGAME MUNICIPAL SYSTEM,GD,1912,BURLINGAME MUNICIPAL SYSTEM
1920,"BURLINGTON GAS SYSTEM , CITY OF",GD,1920,"BURLINGTON GAS SYSTEM , CITY OF"
1922,BURNSVILLE GAS CO,GD,1922,BURNSVILLE GAS CO
1936,"BURRTON MUNICIPLE DISTRICT SYSTEM, CITY OF",GD,1936,"BURRTON MUNICIPLE DISTRICT SYSTEM, CITY OF"
1944,BUSHNELL MUNICIPAL GAS UTILITY,GD,1944,BUSHNELL MUNICIPAL GAS UTILITY
1960,BUTTE PIPELINE CO,HL,1248,Belle Fourche Pipeline Co.
1976,"BYHALIA MUNICIPAL SYSTEM, TOWN OF",GD,1976,"BYHALIA MUNICIPAL SYSTEM, TOWN OF"
1985,B & H GAS CO,GD,1985,B & H GAS CO
2001,CABOT OIL & GAS CORP,GT,2001,Cabot OandG
2012,"CAIRO GAS SYSTEMS, CITY OF",GD,2012,"CAIRO GAS SYSTEMS, CITY OF"
2016,CAIRO PUBLIC UTILITIES SYSTEM,GD,2016,CAIRO PUBLIC UTILITIES SYSTEM
2020,CITY OF CALERA NATURAL GAS,GD,2020,CITY OF CALERA NATURAL GAS
2036,"CAMILLA GAS SYSTEM, CITY OF",GD,2036,"CAMILLA GAS SYSTEM, CITY OF"
2042,CALLIDUS TECHNOLOGIES by HONEYWELL,GT,2042,CALLIDUS TECHNOLOGIES by HONEYWELL
2044,CAMP HILL UTILITY BOARD,GD,2044,CAMP HILL UTILITY BOARD
2047,CALEDONIA NATURAL GAS DISTRICT,GD,2047,CALEDONIA NATURAL GAS DISTRICT
2060,CANTON MUNICIPAL UTILITY,GD,2060,CANTON MUNICIPAL UTILITY
2066,CAPE COD GAS CO (DIV OF COLONIAL GAS CO),GD,11713,National Grid
2066,CAPE COD GAS CO (DIV OF COLONIAL GAS CO),GT,11713,National Grid
2088,"CARBON HILL GAS BOARD, CITY OF",GD,2088,"CARBON HILL GAS BOARD, CITY OF"
2092,CARENCRO GAS SYSTEM,GD,2092,CARENCRO GAS SYSTEM
2096,"CARLISLE GAS SYSTEM, CITY OF",GD,2096,"CARLISLE GAS SYSTEM, CITY OF"
2112,CARRIZO SPRINGS GAS DEPT,GD,2112,CARRIZO SPRINGS GAS DEPT
2116,"CARROLLTON GAS DISTRICT SYSTEM, CITY OF",GD,2116,"CARROLLTON GAS DISTRICT SYSTEM, CITY OF"
2120,"CARTERSVILLE GAS DEPT, CITY OF",GD,2120,"CARTERSVILLE GAS DEPT, CITY OF"
2124,CASCADE MUNICIPAL UTIL,GD,2124,CASCADE MUNICIPAL UTIL
2128,CASCADE NATURAL GAS CORP,GD,2128,CASCADE NATURAL GAS CORP
2128,CASCADE NATURAL GAS CORP,GT,2128,CASCADE NATURAL GAS CORP
2132,CASEY MUNICIPAL GAS SYSTEM,GD,2132,CASEY MUNICIPAL GAS SYSTEM
2136,CASHION MUNICIPAL GAS SYSTEM,GD,2136,CASHION MUNICIPAL GAS SYSTEM
2144,"CASSODAY GAS DEPT, CITY OF",GD,2144,"CASSODAY GAS DEPT, CITY OF"
2152,CASTROVILLE UTILITY SYSTEM,GD,2152,CASTROVILLE UTILITY SYSTEM
2162,DOW PIPELINE LLC - CAYUSE,HL,2162,DOW PIPELINE CO - CAYUSE
2164,CEDAR FALLS MUNICIPAL UTILITY,GD,2164,CEDAR FALLS MUNICIPAL UTILITY
2170,CENEX PIPELINE LLC,HL,9175,CHS Inc
2170,CENEX PIPELINE LLC,HL,32283,CHS Inc
2172,CENTER MUNICIPAL GAS SYSTEM,GD,2172,CENTER MUNICIPAL GAS SYSTEM
2176,"CENTERVILLE, TOWN OF",GD,2176,"CENTERVILLE, TOWN OF"
2180,CENTRAL CITY GAS SYSTEM DEPT,GD,2180,CENTRAL CITY GAS SYSTEM DEPT
2180,CENTRAL CITY GAS SYSTEM DEPT,GT,2180,CENTRAL CITY GAS SYSTEM DEPT
2188,CENTRAL FLORIDA GAS CORP,GD,2309,Chesapeake Utilities
2188,CENTRAL FLORIDA GAS CORP,GD,5330,Chesapeake – Florida
2188,CENTRAL FLORIDA GAS CORP,GT,2309,Chesapeake Utilities
2188,CENTRAL FLORIDA GAS CORP,GT,2188,Chesapeake – Florida
2190,CENTRAL FLORIDA PIPELINE CORP,HL,18092,Kinder Morgan
2196,CENTRAL HUDSON GAS & ELECTRIC CORP,GD,2196,CENTRAL HUDSON GAS & ELECTRIC CORP
2196,CENTRAL HUDSON GAS & ELECTRIC CORP,GT,2196,CENTRAL HUDSON GAS & ELECTRIC CORP
2227,"CENTURY, TOWN OF",GD,2227,"CENTURY, TOWN OF"
2232,"CENTREVILLE MUNICIPAL GAS, TOWN OF",GD,2232,"CENTREVILLE MUNICIPAL GAS, TOWN OF"
2236,CHAMBERSBURG GAS DEPT,GD,2236,CHAMBERSBURG GAS DEPT
2256,"CHANUTE, CITY OF",GD,2256,"CHANUTE, CITY OF"
2256,"CHANUTE, CITY OF",GT,2256,"CHANUTE, CITY OF"
2268,"CHARLOTTESVILLE, CITY OF",GD,2268,"CHARLOTTESVILLE, CITY OF"
2272,CHARTIERS NATURAL GAS CO INC,GD,2272,CHARTIERS NATURAL GAS CO INC
2280,CHATHAM NATURAL GAS DIV,GD,2280,CHATHAM NATURAL GAS DIV
2288,CHATTANOOGA GAS CO,GD,2288,CHATTANOOGA GAS
2288,CHATTANOOGA GAS CO,GT,2288,CHATTANOOGA GAS
2289,"CHATTAHOOCHEE, CITY OF",GD,2289,"CHATTAHOOCHEE, CITY OF"
2292,CHELSEA GAS AUTH,GD,2292,CHELSEA GAS AUTH
2297,CHENEY MUNICIPAL UTILITY,GD,2297,CHENEY MUNICIPAL UTILITY
2300,CHEROKEE WATERWORKS & GAS BOARD,GD,2300,CHEROKEE WATERWORKS & GAS BOARD
2304,CHILDERSBURG GAS BOARD,GD,2304,CHILDERSBURG GAS BOARD
2304,CHILDERSBURG GAS BOARD,GT,2304,CHILDERSBURG GAS BOARD
2308,"CHESTER, CITY OF",GD,2308,"CHESTER, CITY OF"
2309,CHESAPEAKE UTILITIES CORPORATION,GD,2309,Chesapeake Utilities
2312,CHESTER COUNTY NATURAL GAS AUTH,GD,2312,CHESTER COUNTY NATURAL GAS AUTH
2316,"CHESTER GAS DEPT, CITY OF",GD,2316,"CHESTER GAS DEPT, CITY OF"
2332,CHEYENNE LIGHT FUEL & POWER,GD,2332,CHEYENNE LIGHT FUEL & POWER
2332,CHEYENNE LIGHT FUEL & POWER,GT,2332,CHEYENNE LIGHT FUEL & POWER
2336,CHICKASAWHAY NATURAL GAS DIST,GD,2336,CHICKASAWHAY NATURAL GAS DIST
2339,CHEVRON PRODUCTS COMPANY - HAWAII,HL,2339,CHEVRON PRODUCTS COMPANY - HAWAII
2348,"CHIPLEY, CITY OF",GD,2348,"CHIPLEY, CITY OF"
2352,"CHIRENO MUNICIPAL GAS, CITY OF",GD,2352,"CHIRENO MUNICIPAL GAS, CITY OF"
2356,CHOUTEAU PUBLIC WORKS AUTH,GD,2356,CHOUTEAU PUBLIC WORKS AUTH
