REPORT_NUMBER,NAME,OPERATOR_ID,IYEAR,MDY,MoYr,LOCAL_DATETIME,LOCATION_LATITUDE,LOCATION_LONGITUDE,cleanLoc,STATE,ON_OFF_SHORE,SYS,MSYS,SIGNIFICANT,SERIOUS,COMMODITY_RELEASED_TYPE,UNINTENTIONAL_RELEASE,INTENTIONAL_RELEASE,TOTAL_RELEASE,UNITS,FATALITY_IND,FATAL,INJURY_IND,INJURE,EXPLODE_IND,IGNITE_IND,NUM_PUB_EVACUATED,TOTAL_COST_CURRENT,INSTALLATION_YEAR,SYSTEM_PART_INVOLVED,PIPE_DIAMETER,CAUSE,CAUSE_DETAILS,NARRATIVE,mileage,pri.id,pri.name
20190081,ATMOS PIPELINE - TEXAS,31978,2019,2019-06-14,2019-06-01,2019-06-14T03:00:00Z,32.27001852,-95.24132787,"Whitehouse, TX",TX,ONSHORE,GT,Gas,NO,NO,NATURAL GAS,49,0,49,mscf,NO,0,NO,0,NO,NO,0,106198.36689158854,2009,ONSHORE REGULATOR/METERING STATION EQUIPMENT AND PIPING,NA,OTHER OUTSIDE FORCE DAMAGE,"DAMAGE BY CAR, TRUCK, OR OTHER MOTORIZED VEHICLE/EQUIPMENT NOT ENGAGED IN EXCAVATION","ADDITIONAL NRC REPORT # 1249008    A VEHICLE WAS TRAVELING SOUTHBOUND ON HWY 110 TOWARD WHITEHOUSE, TEXAS.  THE DRIVER LEFT THE ROADWAY ONTO THE EAST SIDE OF HWY 110 WHILE STILL TRAVELING SOUTH.  THE VEHICLE THEN TRAVELED THROUGH THE STATION FENCE DAMAGING A 2-INCH ABOVEGROUND VALVE.    THE INCIDENT OCCURRED ON 6/14/19 AT APPROXIMATELY 03:00.  ATMOS ENERGY WAS FIRST NOTIFIED BY THE FIRE DEPARTMENT AT 06:18.  THE FIRE DEPARTMENT INITIALLY NOTIFIED CENTERPOINT ENERGY, WHO DETERMINED THAT THEY DID NOT OPERATE THE FACILITY.  AN ATMOS ENERGY TECHNICIAN WAS THE FIRST RESPONDER AND ARRIVED AT APPROXIMATELY 07:20.  THE EMERGENCY VALVE AT THE STATION WAS TURNED OFF AT APPROXIMATELY 07:40.  AT APPROXIMATELY 09:30 ON 6/14/19, IT WAS DETERMINED THAT REPAIRS WOULD LIKELY EXCEED THE $50,000 THRESHOLD, AND THE TELEPHONIC REPORT TO THE NRC WAS MADE AT 09:50.  CNG WAS UTILIZED TO MAINTAIN SERVICE UNTIL NECESSARY REPAIRS COULD BE MADE.  THE LINE WAS PLACED BACK IN SERVICE AT 21:15 ON 06/19/19.    POLICE ADVISED THERE WERE NO INJURIES.",5683.82,4473,Atmos
20200044,ATMOS ENERGY CORPORATION - MID-TEX,31348,2020,2020-04-03,2020-04-01,2020-04-03T13:40:00Z,32.90864,-96.91596,"Dallas, TX",TX,ONSHORE,GT,Gas,NO,NO,NATURAL GAS,258,308,566,mscf,NO,0,NO,0,NO,NO,0,94802.70993134828,UNKNOWN,ONSHORE REGULATOR/METERING STATION EQUIPMENT AND PIPING,NA,EXCAVATION DAMAGE,EXCAVATION DAMAGE BY THIRD PARTY,"AT APPROXIMATELY 11:00 AM ON APRIL 3, 2020 , A THIRD PARTY CONTRACTOR WAS LEVELING GROUND AND INSTALLING UNDERGROUND IRRIGATION NEAR THE INTERSECTION OF COMMERCE RD. AND I-635 SERVICE ROAD IN DALLAS, TX.  ATMOS ENERGY DID NOT RECEIVE PRIOR NOTIFICATION OF THE EXCAVATION ACTIVITY, AND NO NOTIFICATION WAS MADE BY THE CONTRACTOR TO THE ONE-CALL CENTER.  THE CONTRACTOR STRUCK A TAP ON ATMOS' LINE D, CAUSING A RELEASE OF GAS.   ATMOS ENERGY WAS NOTIFIED OF THE INCIDENT BY THE FARMERS BRANCH FIRE DEPARTMENT AT 11:11 AM.  THE RELEASE WAS SECURED AT 6:19 PM WHEN LINE D WAS TAKEN OUT OF SERVICE TO MAKE REPAIRS. LINE D WAS PLACED BACK IN SERVICE AT 4:58 AM ON APRIL 4, 2020.    48 HOUR NRC # 1274837",297.19,4473,Atmos
20210014,ATMOS PIPELINE - TEXAS,31978,2021,2021-01-19,2021-01-01,2021-01-19T15:20:00Z,32.68141,-99.80307,"Hawley, TX",TX,ONSHORE,GT,Gas,YES,NO,NATURAL GAS,1667.5,0.89,1668.39,mscf,NO,0,NO,0,NO,NO,0,182744.2562531107,1953,"ONSHORE PIPELINE, INCLUDING VALVE SITES",1.25,EXCAVATION DAMAGE,EXCAVATION DAMAGE BY THIRD PARTY,"ON JANUARY 19, 2021, A FARMER STRUCK A FARM TAP OFF OF LINE KC 17 WITH A PLOW NEAR HAWLEY, TEXAS. ATMOS ENERGY WAS NOTIFIED OF THE INCIDENT AT 10:03 AM, AT WHICH POINT WORK BEGAN TO DETERMINE HOW TO MAKE REPAIRS.  THE DECISION WAS MADE TO SQUEEZE OFF THE 1.25"" STEEL RISER AND AFTER THE SQUEEZE OFF OCCURRED AT APPROXIMATELY 1 PM, IT WAS DISCOVERED THAT A THREADED CONNECTION WAS LEAKING UNDER THE SQUEEZED OFF SECTION OF THE RISER.  WORK THEN BEGAN ON A BYPASS ON KC17 TO ENSURE CONTINUED SERVICE ON THE LINE.  AT THE POINT IT WAS DETERMINED A BYPASS WOULD BE NEEDED TO MAKE THE NECESSARY REPAIRS, IT WAS ANTICIPATED THAT THE COST ASSOCIATED WITH REPAIRING THE DAMAGE WOULD EXCEED $50,000.  A CALL WAS MADE TO THE NATIONAL RESPONSE CENTER AT 16:17 CT ON 1/19/2021.  STOPPLES WERE WELDED ON FOR THE BYPASS, WHICH WAS COMPLETED ON JANUARY 20, 2021.  ON JANUARY 21, 2021, 5 FEET OF 12"" PIPE WAS REPLACED AND LINE KC17 WAS THEN RETURNED TO NORMAL OPERATION.",5652.24,4473,Atmos
20210064,ATMOS PIPELINE - TEXAS,31978,2021,2021-06-28,2021-06-01,2021-06-28T15:35:00Z,33.212397,-96.391786,"Farmersville, TX",TX,ONSHORE,GT,Gas,YES,YES,NATURAL GAS,1,0,1,mscf,YES,2,YES,2,NO,YES,0,613907.7645856398,UNKNOWN,"ONSHORE PIPELINE, INCLUDING VALVE SITES",NA,EQUIPMENT FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,"ON JUNE 28, 2021, ABOUT 3:35 P.M. LOCAL TIME, A NATURAL GAS IGNITION OCCURRED DURING ROUTINE MAINTENANCE ACTIVITIES AT AN ATMOS ENERGY CORPORATION (ATMOS) FACILITY NEAR FARMERSVILLE, TEXAS. THE NATURAL GAS IGNITED AFTER WORKERS INSERTED AN IN-LINE TOOL (OR PIG) INTO A LAUNCHER.  TWO WORKERS FROM ATMOS AND FIVE EMPLOYEES FROM TWO OF ITS CONTRACTORS WERE ON-SITE AT THE TIME OF THE ACCIDENT AND PERFORMING WORK FOR ATMOS. THE IGNITION OCCURRED WHILE THE WORKERS WERE REMOVING THE PIG INSERTION TOOL DURING THE SIXTH OF A SERIES OF IN-LINE INSPECTIONS. A PIG EJECTED FROM THE LAUNCHER.  AN ATMOS WORKER CALLED 9-1-1 AT 3:35 P.M. THE COLLIN COUNTY ASSISTANT FIRE MARSHAL WAS THE FIRST EMERGENCY RESPONDER ON THE SCENE, WITH OTHER AGENCIES, INCLUDING THE NATIONAL TRANSPORTATION SAFETY BOARD (NTSB) ARRIVING THEREAFTER FOR ADDITIONAL SUPPORT IN EMERGENCY RESPONSE.     THE NTSB LEAD AN INVESTIGATION INTO THE MATTER. THE NTSB'S PIPELINE INVESTIGATION REPORT DETERMINED THAT THE PROBABLE CAUSE OF THE EVENT WAS A LEAKING MAINLINE VALVE THAT ALLOWED NATURAL GAS TO ENTER THE LAUNCHER WHERE IT MIXED WITH AIR, CREATING A FLAMMABLE GAS-AIR MIXTURE THAT WAS IGNITED BY AN UNDETERMINED SOURCE.        DUE TO THE CIRCUMSTANCES OF THIS EVENT, THE ESTIMATED VOLUME OF COMMODITY RELEASED IS UNMEASURABLE. THEREFORE, ATMOS ENERGY HAS RESPONDED TO QUESTIONS A7 AND A21C WITH 1.00, WHICH IS THE MINIMUM VALUE ALLOWED.     NOTE THAT THE DISTANCE REFLECTED IN RESPONSE TO QUESTION E6, IS ACTUALLY BETWEEN THE VALVE AND THE LAUNCHER DOOR, WHICH IS WHERE THE INCIDENT OCCURRED.",5652.24,4473,Atmos
20210116,ATMOS PIPELINE - TEXAS,31978,2021,2021-12-01,2021-12-01,2021-12-01T11:00:00Z,33.20149546,-96.81331102,"Frisco, TX",TX,ONSHORE,GT,Gas,YES,YES,NATURAL GAS,1,0,1,mscf,NO,0,YES,1,NO,NO,0,61139.778894472336,2018,ONSHORE REGULATOR/METERING STATION EQUIPMENT AND PIPING,NA,OTHER INCIDENT CAUSE,UNKNOWN,"ON DECEMBER 1, 2021, AT APPROXIMATELY 11:00 AM, AN ATMOS ENERGY EMPLOYEE AND AN INDEPENDENT THIRD-PARTY CONTRACTOR WERE ONSITE AT A VALVE SITE ON LINE WN2-8, NEAR 7786 COUNTY ROAD 24 IN FRISCO, TX.  THE INDEPENDENT THIRD-PARTY CONTRACTOR WAS IN THE PROCESS OF REPLACING THE WRENCH HEAD MOUNTING PLATE WITH AN ACTUATOR MOUNTING PLATE WHEN HE WAS INJURED.  AN UNKNOWN PART OF THE VALVE EJECTED AND STRUCK HIM IN THE FACE, RESULTING IN INJURY.  THE ATMOS ENERGY EMPLOYEE WAS ABOUT 10 FEET AWAY AND WAS NOT INVOLVED IN THE INDEPENDENT THIRD-PARTY CONTRACTORS WORK.   THE ATMOS EMPLOYEE ONSITE CALLED 911, AND THE INDEPENDENT THIRD-PARTY CONTRACTOR WAS TAKEN TO THE HOSPITAL AND ADMITTED FOR TREATMENT. THE PIPE WAS NOT SHUT DOWN DUE TO THE INCIDENT.    LATER IN THE DAY, THE VALVE WAS INVESTIGATED FOR LEAKS AND NONE WERE FOUND.  THE THIRD-PARTY CONTRACTOR HAS WRITTEN PROCEDURES THAT APPLY TO THE INSTALLATION OF THE ACTUATOR.     DUE TO THE CIRCUMSTANCES OF THIS EVENT, THE ESTIMATED VOLUME OF COMMODITY RELEASED, IF ANY, IS DE MINIMIS OR OTHERWISE UNMEASURABLE.  THEREFORE, ATMOS ENERGY HAS RESPONDED TO QUESTION A7 WITH 1.00, WHICH IS THE MINIMUM VALUE ALLOWED.     OUT OF AN ABUNDANCE OF CAUTION, THE VALVE WAS REPLACED AT THE COST OF $57,584. FOR THIS REASON, THE REPLACEMENT COST WAS ENTERED IN PART D 7 (D).",5652.24,4473,Atmos
20220020,ATMOS PIPELINE - TEXAS,31978,2022,2022-01-27,2022-01-01,2022-01-27T00:25:00Z,30.35107558,-97.58859103,"Manor, TX",TX,ONSHORE,GT,Gas,YES,NO,NATURAL GAS,35.03,0,35.03,mscf,NO,0,NO,0,NO,NO,0,306335.7142622952,2015,ONSHORE REGULATOR/METERING STATION EQUIPMENT AND PIPING,8.625,OTHER OUTSIDE FORCE DAMAGE,"DAMAGE BY CAR, TRUCK, OR OTHER MOTORIZED VEHICLE/EQUIPMENT NOT ENGAGED IN EXCAVATION","ON JANUARY 27, 2022, AT APPROXIMATELY 1:06 AM, A PASSERBY MADE AN EMERGENCY REPORT THAT A VEHICLE HAD DAMAGED NATURAL GAS FACILITIES NEAR 8514 EAST PARMER LANE. THE NATURAL GAS FACILITIES AT THIS LOCATION ARE PRIMARILY OWNED AND OPERATED BY TEXAS GAS SERVICE (TGS), AND TGS REPRESENTATIVES WERE ON THE SCENE.   ATMOS SERVICE TECHNICIAN ARRIVED AT 2:34 AM, VERIFIED THAT THE GAS WAS SHUT OFF, AND REQUESTED THAT A MEASUREMENT, INSTRUMENT, AND CONTROLS (MIC)TECHNICIAN BE DISPATCHED TO THE SCENE AS WELL. THE MIC TECHNICIAN WAS IMMEDIATELY DISPATCHED.  TGS HANDLED THE REMOVAL OF THE VEHICLE AND TEMPORARY FENCING. ATMOS ENERGY WAS ONSITE, STANDING BY.     PRELIMINARILY, IT APPEARED THAT THE PROPERTY DAMAGE WAS NEARLY ENTIRELY DAMAGE TO THE FACILITIES OF TGS RATHER THAN THE FACILITIES OF ATMOS ENERGY.  HOWEVER, DURING THE COURSE OF THE EMERGENCY RESPONSE, AT APPROXIMATELY 9:30 AM CST, ATMOS ENERGY DETERMINED THERE MAY BE SUFFICIENT DAMAGE TO ATMOS ENERGY'S PROPERTY TO EXCEED THE COST THRESHOLD ESTABLISHED IN 49 CFR 191.3.  THEREFORE, ATMOS ENERGY REPORTED THE EVENT TO NRC AT 10:07 AM CST.    A CLAMP-ON ULTRASONIC METER WAS INSTALLED AND TEMPORARY REPAIRS WERE MADE TO BE ABLE TO PLACE STATION BACK IN SERVICE.  SERVICE FROM ATMOS ENERGY TO TGS WAS RESTORED ON FEBRUARY 3, 2022, AT 5:45 PM.",5645.435,4473,Atmos
20220048,ATMOS PIPELINE - TEXAS,31978,2022,2022-03-23,2022-03-01,2022-03-23T04:30:00Z,32.52089,-97.08222,"Mansfield, TX",TX,ONSHORE,GT,Gas,YES,YES,NATURAL GAS,33202,0,33202,mscf,YES,1,NO,0,NO,YES,593,1871944.4426229512,2017,ONSHORE REGULATOR/METERING STATION EQUIPMENT AND PIPING,8,OTHER OUTSIDE FORCE DAMAGE,"DAMAGE BY CAR, TRUCK, OR OTHER MOTORIZED VEHICLE/EQUIPMENT NOT ENGAGED IN EXCAVATION","PRELIMINARY INVESTIGATION INDICATES THAT ON MARCH 23, 2022, A VEHICLE TRAVELING AT A HIGH RATE OF SPEED GOING SOUTHBOUND IN THE NORTHBOUND LANES OF HWY 360 CROSSED OVER U.S. 287 SOUTHBOUND SERVICE ROAD, TRAVELED AN ADDITIONAL 125 FEET, AND STRUCK AN ATMOS ENERGY MEASURING STATION NEAR MANSFIELD, TEXAS. THE GAS IGNITED. THE SYSTEM PRESSURE WAS AT 655 PSIG AT THE TIME OF THE INCIDENT.     ATMOS ENERGY WAS NOTIFIED BY EMERGENCY RESPONDERS AT APPROXIMATELY 1:40 A.M. AND ATMOS ENERGY PERSONNEL ARRIVED ONSITE AT 2:40 A.M. THE FIRE DEPARTMENT HAD THE AREA SEALED OFF UNTIL 3:00 A.M., AT WHICH TIME THE TECHNICIAN WAS ABLE TO ACCESS THE SCENE AND DETERMINE THAT OUR FACILITY WAS INVOLVED. AT 3:43 A.M., AN UPSTREAM VALVE WAS ACTIVATED TO STOP THE FLOW OF GAS, WHICH RESULTED IN THE LOSS OF SERVICE TO ATMOS ENERGYS CUSTOMER, SIENERGY. SIENERGY INFORMED ATMOS ENERGY THAT IT HAD APPROXIMATELY 1,110 CUSTOMERS DOWNSTREAM THAT LOST SERVICE.    THE FIRE DEPARTMENT EVACUATED A ONE-MILE RADIUS. REGARDING QUESTION A23 OF THIS REPORT, THE NUMBER OF PERSONS EVACUATED IS UNKNOWN, HOWEVER THERE WERE 593 STRUCTURES IN THE EVACUATION ZONE.",5645.435,4473,Atmos
20220061,ATMOS PIPELINE - TEXAS,31978,2022,2022-05-11,2022-05-01,2022-05-11T11:30:00Z,32.275238,-94.345186,"Panola County, TX",TX,ONSHORE,GT,Gas,YES,NO,NATURAL GAS,14334,0,14334,mscf,NO,0,NO,0,NO,NO,15,493040.937213115,1988,"ONSHORE PIPELINE, INCLUDING VALVE SITES",20,CORROSION FAILURE,INTERNAL CORROSION,"ON MAY 11, 2022, GAS CONTROL NOTICED AN UNANTICIPATED DROP IN PRESSURE ON LINE S2 AT 11:30 AM AND NOTIFIED LOCAL OPERATIONS AT 11:34 AM.  UPON NOTIFICATION, OPERATIONS IMMEDIATELY BEGAN TO EVALUATE POTENTIAL CAUSES FOR THE DROP IN PRESSURE AND BEGAN MOBILIZING RESOURCES, WHILE ALSO REACHING OUT TO OFFICIALS ALONG THE SECTIONS OF THE PIPELINE.  WITH NO APPARENT OPERATIONAL CAUSE FOR THE PRESSURE DROP, GAS CONTROL TOOK MEASURES CONSISTENT WITH AN ABNORMAL CONDITION AND CLOSED A REMOTE CONTROL VALVE LOCATED AT BUSBY GATE AT 11:43 AM.      AFTER DISCUSSIONS WITH LOCAL LAW ENFORCEMENT AT 12:14 PM, ATMOS ENERGY PROCEEDED TO THE LOCATION OF THE INCIDENT AND ARRIVED ONSITE AT 12:54 PM. UPON ARRIVAL, ATMOS ENERGY DISCOVERED A PIPE RUPTURE ADJACENT TO LACY PIGGING STATION.      IN ADDITION TO CLOSING THE REMOTE VALVE, LOCAL OPERATIONS CLOSED THE MANUALLY OPERATED VALVE AT THE LACY PIGGING STATION TO FURTHER SEGMENT LINE S2 AND MINIMIZE GAS RELEASE.    BASED UPON INFORMATION ATMOS ENERGY RECEIVED FROM LOCAL OFFICIALS, FIRST RESPONDERS CLOSED ROADS AND EVACUATED RESIDENTS IN THE AREA OUT OF AN ABUNDANCE OF CAUTION. ATMOS ENERGY DOES NOT HAVE DETAILS ON THAT EVACUATION BUT HAS ESTIMATED A NUMBER IN RESPONSE TO QUESTION A23.    SUPPLEMENTAL:   PART A QUESTION 16, THE LINE WAS NO LONGER IN SERVICE AS OF MAY 11, 2022 AT 11:43 AM CST, AND IS BEING ABANDONED. WHILE THIS LINE IS IN THE PROCESS OF BEING REPLACED, ATMOS ENERGY CUSTOMERS ARE BEING SERVED THROUGH OTHER FACILITIES AND NO CUSTOMERS ARE AFFECTED BY THE ABANDONMENT OF THE LINE. FOR THIS REASON, THE RESTART TIME REFLECTED IN THIS QUESTION IS THE SAME TIME THAT THE LINE WAS SHUT DOWN.    AFTER THE INCIDENT OCCURRED, ATMOS ENERGY FOLLOWED ITS PROCEDURES AND INSPECTED THE PIPE IN QUESTION.  THE METALLURGICAL REPORT RESULTING FROM THE INVESTIGATION CONCLUDED THAT MICROBIOLOGICALLY INFLUENCED CORROSION (MIC) AND CHLORIDE CORROSION WERE THE PRIMARY CORROSION MECHANISMS.",5645.435,4473,Atmos
20100052,ATMOS ENERGY CORPORATION - MID-TEX,31348,2010,2010-01-21,2010-01-01,2010-01-21T17:37:00Z,33.893734,-98.529339,"Wichita Falls, TX",TX,ONSHORE,GD,Gas,YES,YES,NATURAL GAS,0,0,0,mscf,NO,0,YES,1,NO,YES,0,179362.2480781218,UNKNOWN,SERVICE,1.25,"PIPE, WELD, OR JOINT FAILURE","OTHER PIPE, WELD, OR JOINT FAILURE","LEAK DEVELOPED ON SERVICE LINE UNDER FOUNDATION OF HOME, AN ADD-ON SECTION OF THE HOME WAS CONSTRUCTED ON TOP OF THE SERVICE LINE.  GAS MIGRATED INTO THE HOME THROUGH A SEAM IN THE CONCRETE AND GAS IGNITED, INJURING ONE PERSON AND CAUSING THE HOUSE TO BE DESTROYED BY FIRE.  SERVICE LINE WAS NOT EXCAVATED DUE TO THE STRUCTURE BEING OVER THE SERVICE LINE.  CAUSE OF LEAK ON SERVICE LINE UNDETERMINED.",49043.759600000005,4473,Atmos
20100053,ATMOS ENERGY CORPORATION - MID-TEX,31348,2010,2010-01-31,2010-01-01,2010-01-31T03:42:00Z,32.8541,-96.99403,"Irving, TX",TX,ONSHORE,GD,Gas,YES,YES,NATURAL GAS,0,0,0,mscf,YES,1,YES,1,YES,YES,0,194255.14232287565,1966,SERVICE,1,OTHER INCIDENT CAUSE,UNKNOWN,"ATMOS ENERGY DISCOVERED A LEAKING COMPRESSION COUPLING IN THE AREA WHERE THIS FIRE OCCURRED.  THE LEAKING COMPONENT WAS PRESERVED IN ITS NATIVE STATE AND SENT TO A LABORATORY FOR TESTING TO DETERMINE THE CAUSE OF FAILURE.  A FLOW RATE TEST WAS PERFORMED AND THE TEST REVEALED THAT THE LEAK RATE FROM THE LEAKING COMPONENT WAS NOT LARGE ENOUGH TO CAUSE AN ACCUMULATION OF A FLAMMABLE MIXTURE TO HAVE CONTRIBUTED TO THIS HOUSE FIRE.  ATMOS ENERGY'S EXHAUSTIVE INVESTIGATION DID NOT IDENTIFY ANY OTHER SOURCES THAT COULD HAVE CONTRIBUTED TO THIS EVENT, THEREFORE THE CAUSE OF THIS FIRE IS UNDETERMINED.",49043.759600000005,4473,Atmos
20100057,ATMOS ENERGY CORPORATION - WEST TEXAS,4473,2010,2010-01-03,2010-01-01,2010-01-03T15:54:00Z,35.23153,-101.81651,"Amarillo, TX",TX,ONSHORE,GD,Gas,NO,NO,NATURAL GAS,6,0,6,mscf,NO,0,NO,0,YES,YES,0,77702.05692915025,1950,MAIN,2,CORROSION FAILURE,EXTERNAL CORROSION,NATURAL GAS LEAKAGE DUE TO CORROSION MIGRATED UNDERGROUND TO A PIER AND BEAM CONSTRUCTED HOME WHICH WAS LOCATED APPROXIMATELY 15 FEET FROM THE GAS MAIN. THE HOMEOWNERS HAD RECENTLY REPLACED THEIR GAS SERVICE LINE ADJACENT TO THE MAIN WHICH APPEARS TO BE THE MIGRATION PATH TO THE HOME'S FOUNDATION. AN UNKNOWN IGNITION SOURCE IGNITED THE GAS THAT COLLECTED UNDER THE HOME AND DESTROYED THE HOUSE.  NO SERIOUS INJURIES WERE REPORTED. THE LEAKING STEEL MAIN WAS REPLACED WITH 110 FEET OF PE MAIN.,12436.3022,4473,Atmos
20100068,ATMOS ENERGY CORPORATION - MID-TEX,31348,2010,2010-03-15,2010-03-01,2010-03-15T10:28:00Z,31.67165,-97.10032,"Elm Mott, TX",TX,ONSHORE,GD,Gas,NO,NO,NATURAL GAS,1363,0,1363,mscf,NO,0,NO,0,NO,NO,150,1366.839191926935,1977,MAIN,0.2,OTHER OUTSIDE FORCE DAMAGE,"DAMAGE BY CAR, TRUCK, OR OTHER MOTORIZED VEHICLE/EQUIPMENT NOT ENGAGED IN EXCAVATION","TXDOT HAD INSTALLED A 3"" PVC PIPE OVER ATMOS' MAIN TO GET DEPTH SHOT ON THE MAIN. A CAR DROVE OVER THE PVC PIPE, SHOVING IT DOWN ON TOP OF A 2"" POLY TEE CAUSING IT TO CRACK AT SOCKET FUSHION.",49043.759600000005,4473,Atmos
20100085,ATMOS ENERGY CORPORATION - COLORADO/KANSAS,6720,2010,2010-09-22,2010-09-01,2010-09-22T14:05:00Z,39.34519444,-95.10539167,"Easton, KS",KS,ONSHORE,GD,Gas,YES,YES,NATURAL GAS,290,0,290,mscf,NO,0,YES,1,NO,YES,0,103546.93263323377,1978,MAIN,3,INCORRECT OPERATION,EQUIPMENT NOT INSTALLED PROPERLY,"ATMOS EMPLOYEES WERE WORKING ON A PIPE REPLACEMENT PROJECT.  DURING THE PROCESS, THE EXISTING PIPE WAS DAMAGED, AND WHILE ATTEMPTING TO STOP THE ESCAPING GAS, ONE EMPLOYEE RECEIVED BURNS THAT REQUIRED HOSPITALIZATION.",5476.962799999999,4473,Atmos
20110269,ATMOS ENERGY CORPORATION - MID-TEX,31348,2011,2011-07-05,2011-07-01,2011-07-05T14:24:00Z,32.80772,-97.44253,"Lake Worth, TX",TX,ONSHORE,GD,Gas,NO,NO,NATURAL GAS,98,0,98,mscf,NO,0,NO,0,NO,YES,2,23945.675646540025,1984,MAIN,6,EXCAVATION DAMAGE,EXCAVATION DAMAGE BY THIRD PARTY,"EXCAVATOR WAS MIXING QUICKLIME INTO STREET AND STRUCK A 6"" MAIN, IGNITING THE GAS AND BURNING UP THE EXCAVATOR'S MIXER.  DAMAGE TO MIXER ESTIMATED AT $100,000.  EXCAVATOR DID NOT CALL FOR LOCATES, WAS WORKING ON LOCATES MARKED FOR ANOTHER EXCAVATOR.",49959.3916,4473,Atmos
20110287,ATMOS ENERGY CORPORATION - KY/MID-STATES (MID-STATES),20211,2011,2011-05-20,2011-05-01,2011-05-20T08:30:00Z,36.12345,-83.16789,"Morristown, TN",TN,ONSHORE,GD,Gas,YES,YES,NATURAL GAS,10,0,10,mscf,NO,0,YES,1,NO,YES,0,695.9151042024649,NA,MAIN,2,EXCAVATION DAMAGE,EXCAVATION DAMAGE BY THIRD PARTY,MUNICIPALITY CUTTING ROAD WITH CONCRETE SAW DAMAGED 2 INCH PE GAS LINE.,5108.845,4473,Atmos
20120102,ATMOS ENERGY CORPORATION - KY/MID-STATES (KENTUCKY),22476,2012,2012-11-17,2012-11-01,2012-11-17T14:40:00Z,37.333513,-85.333451,"Campbellsville, KY",KY,ONSHORE,GD,Gas,YES,NO,NATURAL GAS,0.15,0,0.15,mscf,NO,0,NO,0,NO,YES,0,251813.2,UNKNOWN,OUTSIDE METER/REGULATOR SET,NA,OTHER OUTSIDE FORCE DAMAGE,"DAMAGE BY CAR, TRUCK, OR OTHER MOTORIZED VEHICLE/EQUIPMENT NOT ENGAGED IN EXCAVATION","OPERATOR OF VEHICLE WAS TRAVELING NORTH ON SOUTH JACKSON STREET. OPERATOR LOST CONTROL OF VEHICLE DUE TO POSSIBLE MEDICAL EPISODE. THE VEHICLE TRAVELED INTO THE REAR OF A BP GAS STATION/CONVENIENCE STORE, STRIKING GAS METER AND CAUSING VEHICLE AND BUILDING TO CATCH FIRE.THE OPERATOR OF THE VEHICLE WAS TREATED AND RELEASED AT TAYLOR REGIONAL HOSPITAL FOR INJURIES; 4 OTHER PASSENGERS WERE NOT INJURED.     EMERGENCE RESPONDERS WERE ABLE TO SHUT OFF METER SET AT THE METER STOP UPON ARRIVAL.    ATMOS ENERGY WORKERS SHUT OFF THE SERVICE AT THE TAP ON THE MAIN 30 MINUTES AFTER ARRIVAL, AROUND 3:30 PM.    POLICE REPORTS INDICATED THAT POSSIBLE ARRESTS WERE PENDING AND VEHICLE WAS IMPOUNDED.",6130.423000000001,4473,Atmos
20130012,ATMOS ENERGY CORPORATION - MID-TEX,31348,2013,2013-01-11,2013-01-01,2013-01-11T12:15:00Z,33.0463,-96.98908,"Lewisville, TX",TX,ONSHORE,GD,Gas,YES,YES,NATURAL GAS,515,0,515,mscf,YES,1,NO,0,YES,YES,12,220742.360248236,1998,MAIN,4,EXCAVATION DAMAGE,EXCAVATION DAMAGE BY THIRD PARTY,"EXCAVATOR DRILLING TO INSTALL A UTILITY POLE DRILLED INTO AN ACCURATELY MARKED 4"" POLY MAIN WITH AN AUGER.  HOUSE EXPLODED BEFORE HAZARDOUS CONDITION WAS ELIMINATED.",50725.7732,4473,Atmos
20130021,ATMOS ENERGY CORPORATION - MID-TEX,31348,2013,2013-01-24,2013-01-01,2013-01-24T07:00:00Z,33.61885,-97.14789,"Gainesville, TX",TX,ONSHORE,GD,Gas,YES,NO,NATURAL GAS,31,0,31,mscf,NO,0,NO,0,YES,NO,50,129364.58647931376,UNKNOWN,SERVICE,1,OTHER OUTSIDE FORCE DAMAGE,"DAMAGE BY CAR, TRUCK, OR OTHER MOTORIZED VEHICLE/EQUIPMENT NOT ENGAGED IN EXCAVATION","WHILE ATMOS ENERGY WAS RESPONDING TO AN EMERGENCY LINE LOCATE FOR THE CITY OF GAINESVILLE TO REPAIR A MAJOR WATER LEAK, THE WATER REPAIR CREW WAS SETTING UP TO PREPARE TO EXCAVATE THE WATER LEAK.  DURING THIS PROCESS, THE CITY'S DUMP TRUCK FELL THROUGH THE STREET ON TOP OF THE GAS SERVICE LINE, CAUSING A LEAK.",50725.7732,4473,Atmos
