DATAFILE_AS_OF,SIGNIFICANT,SERIOUS,RPTID,DOR,OPID,NAME,INADR,ACCTY,ACCNT,ACCST,ACZIP,CLASS,IFED,DTHH,IDATE,FAT,INJ,TOTAL_COST,TOTAL_COST_IN84,TOTAL_COST_CURRENT,OPJUD,STHH,STMN,TELRN,TELRT,INPRS,MXPRS,MPEST,TEST,CAUSE,MAP_CAUSE,MAP_SUBCAUSE,PRTLK,PRTLO,PRTFL,PRTFO,MLKD,MLKDO,NMDIA,THK,SPEC,MANU,MANYR,PRTYR,LOCLK,LOCLO,PNAME,PHONE,LOC,ADESC,ADESCO,CAUSR,CAUCO,COAT,PROT,CPYR,CAULK,DMGO,NOTIF,NOTDT,MARK,MRKTP,MRKTO,STAT,CAULC,CAULO,NARRATIVE
6/30/22,YES,NO,19860050,,15469,PHILADELPHIA GAS WORKS,4635 NORTH 10TH ST.,PHILADELPHIA,PHILADELPHIA,PA,4    ,4,NO,2315,2/14/86,0,0,80000,75719.15963,168245.6455,Null,1,5,            ,19860215,0.3,0.5,BY CFR 192.619(A)(3),1,DAMAGE BY OUTSIDE FORCES,NATURAL FORCE DAMAGE,EARTH MOVEMENT,MAIN, ,WELD,GIRTH,STEEL, ,4,0.237, , ,0,1926,UNDER PAVEMENT, ,"DANIEL VALE, MANAGER",2159783372,,, ,, ,,Null,,EARTH MOVEMENT: SUBSIDENCE, ,NO,,NO,0, ,NO,, ,"ON FEB. 14, 1986 AT 9:45 P.M. PGW RECEIVED A CALL FROM A CUSTOMER AT 4631 NORTH10TH ST. REPORTING AN ODOR INSIDE (LIVING ROOM).  A SERVICEMAN WAS DISPATCHED AT 9:53 P.M. AND FOUND FOUR HOMES WITH A READING OF 100% AT THE FRONT FOUNDATION WALLS.  THE SERVICEMAN CALLED FOR ASSISTANCE AND CONTINUED HIS INVESTIGATION.  ASECOND SERVICEMAN ARRIVED ON THE JOB AT 11:00 P.M.  THE SERVICEMEN ATTEMPTED TOGAIN ENTERACE TO 4635 NORTH 10TH ST; HOWEVER, THERE WAS NO ONE HOME.  THEY THENSTARTED TO FORCE ENTRY BY REMOVING THE BASEMENT WINDOW UNDER THE FRONT PORCH WHEN THE EXPLOSION OCCURRED."
6/30/22,NO,NO,19860052,,20211,UNITED CITIES GAS CO,FIELD 600 NORTH OF ROSS RD, ,BARROW,GA,2    ,2,NO,1704,2/26/86,0,0,0,0,0,YES,2,50,            ,,560,610,BY CFR 192.619(A)(3),1,DAMAGE BY OUTSIDE FORCES,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,MAIN, ,BODY OF PIPE, ,STEEL, ,8.62,0.188,API 5LB,L.B. FOSTER,1966,1966,UNDER GROUND OR UNDER WATER, ,"RICHARD SCHWARTZ, MANAGER",4045343655,,, ,, ,,Null,,OUTSIDE/THIRD PARTY, ,NO,,YES,1, ,YES,, ,POULTRY FARMER WAS DIGGING A LARGE HOLE TO BURY TRASH OR ETC.  THE LARGE FRONT END LOADER RAN INTO AND DAMAGED PIPE WHILE DIGGING APPROXIMATELY FOUR FEET DEEP.
6/30/22,YES,YES,19860053,,15329,PEOPLES GAS LIGHT & COKE CO,10358 S. TRUMBULL,CHICAGO,COOK,IL,3    ,3,NO,130,2/19/86,0,1,65000,61521.8172,136699.587,Null,4,30,            ,19860219,20,25,BY CFR 192.619(A)(3),0,DAMAGE BY OUTSIDE FORCES,NATURAL FORCE DAMAGE,TEMPERATURE,MAIN, ,BODY OF PIPE, ,CAST IRON, ,6,0, , ,0,1941,WITHIN/UNDER BUILDING, ,"MARTIN MCDONNELL, DISTRICT SUPT.",3129624840,,, ,, ,,Null,,EARTH MOVEMENT: FROST, ,NO,,NO,0, ,NO,, ,"GAS LEAKING FROM A CRACKED 6"" CAST IRON MEDIUM PRESSURE GAS MAIN MIGRATED INSIDE A BUILDING WHICH WAS DESTROYED BY AN EXPLOSION.THE SOURCE OF IGNITION IS UNKNOWN"
6/30/22,NO,NO,19860054,,11800,LOUISIANA GAS SERVICE CO,4909 PONTCHARTRAIN DR.,SLIDELL,ST TAMMANY,LA,3    ,3,NO,110,2/15/86,0,0,5000,4732.447477,10515.35285,Null,1,20,            ,,80,100,BY CFR 192.619(A)(3),1,DAMAGE BY OUTSIDE FORCES,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,METER SET ASSEMBLY, ,REGULATOR/METER, ,STEEL, ,0,0, , ,0,0,ABOVE GROUND, ,"D. L. MERIWETHER, DIRECTOR OF TECHNICAL STANDARDS",5043677000,,, ,, ,,Null,,OUTSIDE/THIRD PARTY, ,NO,,YES,3,METER INSTALLATION,NO,, ,AUTOMOBILE RAN OVER GAS METER CAUSING GAS TO IGNITE.  THE RESULTING FIRE COMPLETELY DESTROYED AUTOMOBILE AND CAUSED SOME DAMAGE TO SIDE OF HOUSE.  METER REGULATOR INSTALLATION WAS ON PRIVATE PROPERTY AND OPERATOR OF VEHICLE DROVE OFF HIGHWAY STRIKING INSTALLATION.
6/30/22,NO,NO,19860055,,11800,LOUISIANA GAS SERVICE CO,3709 WEST METAIRIE,METAIRIE,JEFFERSON,LA,3    ,3,NO,2230,2/20/86,0,0,0,0,0,YES,0,0,            ,,75,100,BY CFR 192.619(A)(3),0,OTHER,ALL OTHER CAUSES,MISCELLANEOUS,OTHER,CUSTOMER PIPING,OTHER, ,OTHER, ,0,0, , ,0,0,WITHIN/UNDER BUILDING, ,"D. L. MERIWETHER, DIRECTOR OF TECHINCAL STANDARDS",5043677000,,, ,, ,,Null,,NO DATA, ,Null,,Null,, ,Null,, ,"CUSTOMER TURNED OVEN ON AND DIDN'T LIGHT BURNER.  APPROXIMATELY 2 OR 3 MINUTES LATER, THE CUSTOMER OPENED OVEN DOOR AND LIT A MATCH CAUSING EXPLOSION AND FLASHBACK.  THE CUSTOMER DIDN'T DETECT ANY GAS ODOR.  LATER TESTS PROVED THAT ODORANTCONCENTRATION IN THE GAS WAS INSUFFICIENT."
6/30/22,YES,YES,19860061,,2704,CONSOLIDATED EDISON CO OF NEW YORK,EAST 4TH ST & AVENUE A,NEW YORK, ,NY,4    ,4,NO,1022,3/4/86,0,1,0,0,0,Null,0,0,            ,19860304,0.2,0.4,,0,OTHER,ALL OTHER CAUSES,MISCELLANEOUS,MAIN, ,OTHER,UNKNOWN - MAIN ABANDONED,CAST IRON, ,6,0.375, , ,0,1884,OTHER,ELECTRIC MANHOLE,DOMINIC CASTELLANO - ACTING CHIEF GAS ENG,2124604464,,, ,, ,,Null,,NO DATA, ,Null,,Null,, ,Null,, ,"GAS LEAKING FROM A 6"" CAST IRON MAIN MIGRATED INTO AN ELECTRIC MANHOLE AND WAS IGNITED BY AN UNKNOWN SOURCE."
6/30/22,YES,NO,19860062,,4350,ELIZABETHTOWN GAS CO,512 PARK AVE,SCOTCH PLAINS,UNION,NJ,1    ,1,NO,245,2/25/86,0,0,750000,709867.1216,1577302.927,Null,0,30,            ,19860225,0.2,0,,0,OTHER,ALL OTHER CAUSES,MISCELLANEOUS,METER SET ASSEMBLY, ,NO DATA, ,NO DATA, ,0,0, , ,0,0,WITHIN/UNDER BUILDING, ,EDWARD RAPOLAS - GEN MGR C&M,2012895000,,, ,, ,,Null,,NO DATA, ,Null,,Null,, ,Null,, ,PART 2 - VALVE AT METER SET WAS DELIBERATELY OPENED BY UNKNOWN PERSON(S) TO CREAT FIRE (EXPLOSION).PART 3 - INVESTIGATION BY ARSON SQUAD UNDERWAY.
6/30/22,YES,YES,19860063,,13710,NORTHERN ILLINOIS GAS CO,204 W 14TH ST (RT 30),CHICAGO HEIGHTS,COOK,IL,3    ,3,NO,800,3/13/86,1,1,250000,236622.3739,525767.6423,Null,0,45,            ,19860313,28,60,BY TEST,90,DAMAGE BY OUTSIDE FORCES,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,SERVICE LINE, ,JOINT,SLEEVE,STEEL, ,0.75,0.118,API STD 5L, ,0,0,UNDER PAVEMENT, ,C POWERS - GEN SUPV,3127560450,,, ,, ,,Null,,OUTSIDE/THIRD PARTY, ,YES,3/7/86,YES,3,YELLOW PAINT ON BLACKTOP,YES,, ,"ALPHA CONSTRUCTION WAS INSTALLING A WATER MAIN ON THE SOUTH SIDE OF 14TH ST (RTE 30), CHICAGO HEIGHTS, ILL. A BACKHOE WAS DIGGING A TRENCH IN FRONT OF 204 W 14TH ST WHEN THE 3/4"" SERVICE TO 204 WAS HIT AND PULLED UP ABOUT 1 FT CAUSING THE PIPE TO PULL OUT OF A 3/4"" COUPLING NEAR THE HOUSE. THE CONTRACTOR NOTIFIED NI-GAS AND NI-GAS CREWS WERE IMMEDIATLY DISPATCHED. AS THE GAS WAS BEING SHUT OFF AT204 THE BUILDING EXPLODED. ALSO DAMAGED BY EXPLOSION AND FIRE WERE THE HOUSES ON EACH SIDE. ONE PERSON, A RESIDENT AT 204, WAS KILLED. EIGHT OTHER PEOPLE WERE INJURED, THE MOST SERIOUS INJURY WAS A BROKEN LEG."
6/30/22,YES,YES,19860065,,22763,WISCONSIN GAS CO,1506 19TH ST,BRODHEAD,GREEN,WI,3    ,3,NO,2257,2/19/86,0,2,0,0,0,Null,25,45,            ,19860221,58,60,BY TEST,100,OTHER,ALL OTHER CAUSES,MISCELLANEOUS,SERVICE LINE, ,OTHER,UNKNOWN,POLYETHYLENE PLASTIC, ,0.625,0.09,2306, ,0,1969,UNDER PAVEMENT, ,R H HOLDER - PE VP & CHIEF ENG,4142916700,,, ,, ,,Null,,NO DATA, ,Null,,Null,, ,Null,, ,"AN EXPLOSION AT 1506 19TH ST RESULTED IN INJURY REQUIRING INPATIENT HOSPITALAZATION OF TWO PERSONS. THE HOME WAS NOT SERVED BY NATURAL GAS. PROPERTY DAMAGE WASESTIMATED AT $40,000. AN INVESTIGATION OF THIS INCIDENT TO DATE, HAS REVEALED THAT A LEAK EXISTED ON THE UNDERGROUND 5/8 PLAS NATURAL GAS LINE LEADING TO 1503 19TH ST, THE PROPERTY ON THE OTHER SIDE OF THE STREET OF THE AFFECTED PROPERTY.ALSO, A LEAK HAS BEEN DISCOVERED ON THE UNDERGROUND LP GAS LINE LEADING TO 150619TH ST. FURTHER INVESTIGATION IS ONGOING IN AN EFFORT TO DETERMINE WHICH LEAKING FUEL OR IF BOTH FUELS CONTRIBUTED TO THIS INCIDENT."
6/30/22,YES,NO,19860066,,20050,UNION ELECTRIC CO,320 EAST RAILROAD,CENTRALIA,BOONE,MO,3    ,3,NO,1440,1/3/86,0,0,53000,50163.94326,111462.7402,Null,0,15,            ,19860103,47,50,BY CFR 192.619(A)(3),0,OTHER,ALL OTHER CAUSES,MISCELLANEOUS,MAIN, ,BODY OF PIPE, ,CAST IRON, ,4,0.76, , ,1932,1932,UNDER GROUND OR UNDER WATER, ,"WILLIAM LUEBBERT, SUPERVISING ENGINEER",3146350171,,, ,, ,,Null,,NO DATA, ,Null,,Null,, ,Null,, ,
