DATAFILE_AS_OF,SIGNIFICANT,SERIOUS,RPTID,DOR,OPID,NAME,INTER,IDATE,DTHH,ACSTATE,ACCOUNTY,ACCITY,OFFSHORE,COOR,IFED,SPLOC,TELRN,CSYS,ORGLK,ORGLO,ITMYR,CAUSE,CAUSO,MAP_CAUSE,MAP_SUBCAUSE,TFAT,EFAT,NFAT,TINJ,EINJ,NINJ,TOTAL_COST,TOTAL_COST_IN84,TOTAL_COST_CURRENT,COMM,CLASS,LOSS,RECOV,FIRE,EXP,NMDIA,THK,SMYS,JNT,GRND,DSPRS,ACPRS,PRTST,DUR,MXPRS,TSTMM,TSTYY,CORLC,FACTD,FACAT,CORR,CORRO,CAULK,CAULO,PREVT,ONECL,ONEOT,EXCAL,TMPMK,PNAME,PHONE,NARRATIVE
6/30/22,YES,NO,19860035,,5522,FOUR CORNERS PIPELINE CO,YES,2/10/86,1550,CA,KERN, ,NO, ,NO,SKETCH ATTACHED, ,LINE PIPE,PIPE, ,1924,OUTSIDE FORCE DAMAGE,DAMAGE BY OTHERS,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,0,0,0,0,0,0,50000,47324.47477,105153.5285,CRUDE OIL,1,500,110,NO,NO,10,0.37,2044,WELDED,,540,260,YES,8,680,7,82,NO DATA,Null,Null,NO DATA, ,DAMAGE BY OTHERS, ,Null,NO DATA, ,Null,Null,"R.B. KUPREWICZ, VICE PRESIDENT OPERATIONS",2134289000,FARM EQUIPMENT OPERATOR RIPPING FIELD HIT PIPELINE PUNCTURING LINE. EQUIPMENT OPERATOR WAS MADE AWARE OF PIPELINE BY HIS FOREMAN. THE AREA OVER THE PIPELINE HAD BEEN MARKED BY THE FOREMAN NOT TO BE PLOWED. EQUIPMENT OPERATOR DID NOT FOLLOW INSTRUCTIONS.
6/30/22,YES,NO,19860036,,13131,CONOCO INC,NO,2/3/86,1045,LA, , ,YES,SHIP SHOAL BLOCK 113 1400,NO,"PIPELINE SEGMENT NO.580 6 5/8"" OIL AND GAS LINE 74,975' IN LENGTH RUNNING FROM SS-94A PLATFORM TO SS-145B PLATFORM. THE LOCATION OF THE SPILL WASN IN THE NWEST.", ,NO DATA,NO DATA,PIPELINE WAS TORN IN HALF,1972,OUTSIDE FORCE DAMAGE,DAMAGE BY OTHERS,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,0,0,0,0,0,0,45453,43020.78704,95590.86658,CRUDE OIL,1,119,0,NO,NO,7,0.28,0,WELDED,,1000,300,YES,2,1000,11,79,NO DATA,Null,Null,NO DATA, ,DAMAGE BY OTHERS,CAUSE UNKNOWN,Null,NO DATA, ,Null,Null,"D.L. BYERS, COORDINATOR",3182365078,"ON JAN 20, 1986 PURGING OPERATIONS BEGAN ON THE 6 5/8"" OIL AND GAS LINE RUNNING FROM SS-94A TO SS-145B, IN PREPARATION TO REMOVE PRODUCTIONEQUIPMENT AND ABANDON THE PLATFORM. APPROX. 2470 BBL. OF WATER WERRE PUMPED FROM SS-94A WITHOUT RETURNS AT SS-158A (PUMPED TO SS-158A BECAUSE SS-145B COULD NOTHANDLE THE FLUID). THE LINE WAS BEING FLOWN DAILY LOOKING FOR EVIDENCE OF A LEAK BUT NONE WAS FOUND. ON FEB 2, 1986, GAS INJECTION WAS INITIATED INTO THE LINE AT SS-145B PLATFORM, EXPECTING TO FIND THE LEAK WITH GAS BUBBLES. ON FEB. 3, 1986, AT 10:45 A.M., OUR LAFAYETTE OFFICE RECEIVED TELEPHONE NOTIFICATION FROM THE MMS OF AN OIL SIGHTING IN THE SS-113 BLOCK. OFFSHORE PERSONNEL WERE NOTIFIED ANDINSTRUCTED TO INVESTIGATE THE SPILL SIGHTING AND TO DETERMINE IF IT WAS ORIGINATING FROM OUR PIPELINE.  AFTER RECEIVING THE REPORT THAT THE SPILL DID ORIGINATEFROM OUR 6 5/8"" OIL AND GAS LINE RUNNING FROM SS-94A TO SS-145B; THE SENIOR FOREMAN FOR THAT AREA ORDERED THE PRESSURING UP OPERATIONS AT THE SS-145B PLATFORM TO STOP. A FAXED SPILL REPORT WAS RECEIVED IN THE LAFAYETTE OFFICE AT 11:30 A.M.WHICH INCLUDED THE DETAILS KNOWN AT THAT TIME. THE REPORT INDICATED A SPILL 14OO' FNL AND 3640' FWL OF SS BLOCK 113; THE SLICK BEING 6 MILES WIDE BY 1 MILE LONG, LIGHT TO DARK BROWN COLOR. FORM THIS INFO AN ESTIMATION OF A DISCHARGE OF UP TO 5000 GALS. WAS MADE."
6/30/22,YES,NO,19860037,,443,AMOCO PIPELINE CO,YES,2/17/86,0,IL,WILL, ,NO, ,NO,"WITHIN DIKED MANIFOLD AREA BETWEEN TANKS SOUTH OF WILMINGTON, IL ON ILLINOIS HWY 102 ON WEST SIDE OF ROAD.", ,TANK FARM,PIPE, ,1936,INCORRECT OPERATION BY OPERATOR PERSONNEL,CRAKED PUMP CASE,INCORRECT OPERATION,INCORRECT OPERATION,0,0,0,0,0,0,4000,3785.957982,8412.282277,CRUDE OIL,1,2220,2220,NO,NO,0,0,0,NO DATA,,0,0,Null,0,0,0,0,NO DATA,Null,Null,NO DATA, ,NO DATA, ,Null,NO DATA, ,Null,Null,"JOHN CARICO, AREA MANAGER OPERATIONS",8154784007,"A PROGRAMMABLE LOGIC CONTROLLER (PLC), WITH A DEFECTIVE POWER SUPPLY AND CAR, INTERPRETED A VOLTAGE SPIKE TO BE A COMMAND TO OPEN A MOTOR OPERATED VALVE OFF THE MAIN LINE FEEDING A CONNECTED, BUT INACTIVE, TANK FARM.  AT THE TIME OF THE MALFUNCTION THE LINE WAS NOT OPERATING.  LATER THAN NIGHT WHENTHE LINE WAS BROUGHT UP, LINE PRESSURE FOUND A CRACKED FIELD BOOSTER PUMP CASE,BELIEVED TO HAVE RESULTED FROM FREEZING AT SOME EARLIER TIME, AT THE INACTIVE TANK FARM.  OIL LEFT THE PUMP BUT WAS CONTAINED BY AREA DIKES.  CLEAN UP OPERATIONS AND CORRECTIVE MEASURES TO PREVENT REOCCURRENCE WERE INITIATED ON 2/18/86."
6/30/22,YES,NO,19860038,,737,ASHLAND PIPELINE CO,NO,2/27/86,1400,IN,SPENCER, ,NO, ,NO,NW 1/4 OF SE 1/4 OF SECTION 32 - TOWNSHIP 6 SOUTH - RANGE 7 WEST, ,LINE PIPE,VALVE, ,1923,CORROSION,"CORROSION, EXTERNAL",CORROSION,EXTERNAL,0,0,0,0,0,0,1500,1419.734243,3154.605854,CRUDE OIL,1,400,65,NO,NO,6,0.28,30000,THREADED,,950,880,NO,0,0,0,0,EXTERNAL,Null,YES,GALVANIC, ,NO DATA, ,Null,ONE CALL, ,Null,Null,"JESSE BROTHERS, DIVISION SUPT.",6182624106,"A SCRAPER PIG HUNG DURING NORMAL PIGGING OPERATIONS AND FAILED TO REACH THE RECEIVING TRAP.  A ""POLY-PIG"" WAS INSERTED TO PUSH THE ORIGINALSCRAPER OUT OF THE PIPELINE, BUT THE ""POLY-PIG"" WEDGED INTO THE ORIGINAL SCRAPER AND SEALED OFF ALL THE BYPASS FLOW.  THE RESULTING PRESSURE SURGE CAUSED A RUPTURE IN THE DOWNSTREAM END OF THE PIPELINE BEFORE IT REACHED PUMPING STATION TO TRIP THE HIGH DISCHARGE PRESSURE KILL.  THE PRESSURE KILL DID TRIP, HOWEVER, REDUCING THE LOSS AND DAMAGE."
6/30/22,YES,NO,19860039,,737,ASHLAND PIPELINE CO,NO,3/4/86,1500,IN,SPENCER, ,NO, ,NO,NE 1/4 OF SW 1/4 OF SECTION 15 - TOWNSHIP 7 SOUTH - RANGE 7 WEST, ,LINE PIPE,PIPE, ,1923,CORROSION,"CORROSION, EXTERNAL",CORROSION,EXTERNAL,0,0,0,0,0,0,500,473.2447477,1051.535285,CRUDE OIL,2,130,50,NO,NO,6,0.28,30000,THREADED,,950,980,NO,0,0,0,0,EXTERNAL,Null,YES,GALVANIC, ,NO DATA, ,Null,ONE CALL, ,Null,Null,"JESSE BROTHERS, DIVISION SUPT.",6182624106,"THE LINE WAS BEING PRESSURED IN AN EFFORT TO LOCATE A SCRAPER THAT HAD BECOME LODGED AND SEALED THE PIPELINE.  AS PRESSURE WAS APPLIED AT THE PUMPING STATION, PRESSURE GAUGES WERE CHECKED IN THE SUSPECT AREA TO DETERMINE IF THE GAUGE LOCATON WAS OPEN TO THE PRESSURE APPLIED AT THE PUMPING STATION.THE STATION OPERATOR SAW A RISE IN PRESSURE TO THE DESIRED LEVEL AND SWITCHED FROM ""MANUAL"" TO WHAT HE THOUGH WAS ""OFF"" AND RETURNED TO TEH RADIO IN THE OFFICEBUILDING TO NOTIGY THE WORK CREWS.  SEVERAL MINUTES LATER HE REALIZED THE PUMPSHAD RESTARTED (OBVIOUSLY DUE TO THE SWITCH BEING PLACED IN ""AUTOMATIC"" WHEN HE THOUGH IT WAS OFF) AND THJE DOWNSTREAM PIPELINE RUPTURED DUE TO THE HIGH PRESSURE AGAINST THE SEALED SCRAPER.  THIS RUPTURE WAS IN A SECTION OF PIPE DAMAGED BY CORROSION PRIOR TO THE APPLICATION OF CATHODIC PROTECTION."
6/30/22,YES,NO,19860040,,12452,MID - AMERICA PIPELINE CO (MAPCO),YES,3/10/86,1145,TX,GAINES, ,NO, ,YES,PUBLIC SCHOOL LAND BLOCK A9, ,LINE PIPE,PIPE, ,1960,OUTSIDE FORCE DAMAGE,DAMAGE BY OTHERS,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,0,0,0,0,0,0,0,0,0,NATURAL GAS LIQUID,3,1250,0,NO,NO,6,0.16,1,WELDED,,0,0,YES,24,1777,3,78,NO DATA,Null,Null,NO DATA, ,DAMAGE BY OTHERS, ,Null,NO DATA,PIPELINE SAFETY PROGRAM,NO,NO,"S.F. ISAACS, PRESIDENT",9185811800,THIRD PARTY RUPTURED LINE HWILE PLOWING.
6/30/22,YES,NO,19860041,,809,ARCO PIPE LINE CO,YES,2/23/86,700,IL,LIVINGSTON, ,NO, ,NO,"TANK FARM LOCATED AT COMPANY'S FLANAGAN STATION, LIVINGSTON COUNTY, NEAR PONTIAC, IL", ,TANK FARM,TANK, ,1980,OTHER,MALFUNCTION OF SWIVEL,ALL OTHER CAUSES,MISCELLANEOUS,0,0,0,0,0,0,0,0,0,CRUDE OIL,1,327,,NO,NO,0,0,0,NO DATA,,0,0,Null,0,0,0,0,NO DATA,Null,Null,NO DATA, ,NO DATA, ,Null,NO DATA, ,Null,Null,"NORMAN BENNETT, REGION MANAGER",3163311300,ROOF DRAIN ON #1403 TANK DEVELOPED A LEAK CAUSING OIL TO SPILL IN TANK DIKE.
6/30/22,YES,NO,19860042,,12127,MARATHON PIPE LINE CO,YES,3/3/86,2030,IN,BOONE,ZIONSVILLE,NO, ,NO,"NEAR A HOUSING SUBDIVISION OF ZIONSVILLE, INDIANA, 1089 STANLEY ST., SECTION 26 TOWNSHIP 18 NORTH RANGE 2 EAST.", ,LINE PIPE,PIPE, ,1939,CORROSION,"CORROSION, EXTERNAL",CORROSION,EXTERNAL,0,0,0,0,0,0,10000,9464.894954,21030.70569,GASOLINE,3,75,50,NO,NO,10,0.25,35000,WELDED,,1000,575,YES,24,1260,10,67,EXTERNAL,Null,YES,GALVANIC, ,NO DATA, ,Null,NO DATA, ,Null,Null,"H. E. MILLER, VICE PRESIDENT",4194222121,"AT 2030 HOURS CST, MARATHON PIPE LINE CO., RECEIVED A CALL FROM A LANDOWNER ALONG THE RIGHT-0F-WAY ON MARATHON'S #2-10"" PRODUCTS LINE.  THELANDOWNER STATED HE SMELLED GASOLINE IN THE AREA.  MPL PERSONNEL IMMEDIATELY PROCEEDED TO THE SITE WHERE THEY VERIFIED THAT THE SMELL WAS DUE TO A PIPELINE LEAK.  AT 2047 HOURS, MARATHON'S CONTROL CENTER WAS NOTIFIED AND THE LINE WAS SHUT IN.  ADDITIONAL PERSONNEL WERE DISPATCHED FROM MARTINSVILLE AND INDIANAPOLIS TO SECURE THE AREA THE EVENING OF MARCH 3.ON MARCH 4, MARATHON PERSONNEL EXCAVATED THE LINE, DISCOVERED A PINHOLE CORROSION LEAK, CLAMPED THE LEAK AND BEGAN RECOVERY OPERATIONS.  THE LINE WAS REPAIRED ON MARCH 5 WITH A FULL ENCIRCLEMENT SLEEVE AND THE RECOVERY OPERATION WAS COMPLETED."
6/30/22,YES,NO,19860043,,1845,BUCKEYE PIPELINE CO LP,YES,2/13/86,2155,OH,HURON, ,NO, ,NO, , ,LINE PIPE,PIPE, ,1968,OUTSIDE FORCE DAMAGE,DAMAGE BY OTHERS,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,0,0,0,0,0,0,574221,543494.1446,1207627.285,DIESEL FUEL,1,10107,4609,NO,NO,16,0.28,1830,WELDED,,1375,1010,YES,24,1761,8,68,NO DATA,Null,Null,NO DATA, ,DAMAGE BY OTHERS, ,Null,ONE CALL, ,YES,YES,"JAMES KELLY, MANAGER",2158208300,"IT APPEARS THAT THE 16"" LINE WAS HIT BY TILING CONTRACTOR APPROXIMATELY 9-27-84, THEREBY CAUSING DAMAGE TO PIPELINE RESULTING IN 2-13-86 RUPTURE."
6/30/22,YES,NO,19860044,,2731,CHEVRON PIPELINE CO,YES,2/14/86,900,UT,DUCHESNE,MYTON,NO, ,NO,"CHEVRON PIPE LINE PUMP STATION AT MYTON, UT", ,LINE PIPE,PIPE, ,0,FAILED PIPE,DAMAGE BY NATURAL FORCES,MATERIAL/WELD/EQUIP FAILURE,UNSPECIFIED PIPE BODY OR SEAM,0,0,0,0,0,0,0,0,0,CRUDE OIL,1,350,350,NO,NO,0,0,0,NO DATA,,0,0,Null,0,0,0,0,NO DATA,Null,Null,NO DATA, ,DAMAGE BY NATURAL FORCES, ,Null,NO DATA,PUBLIC AWARENESS,Null,Null,"R. V. SMITH, DIVISION MANAGER",8015397251,"THE LEAK OCCURRED WITHIN A TANK CONTAINMENT DIKE AT OUR MYTON, UTAH PUMP STATION.  AN OUT-OF-SERVICE 3/4"" SAMPLE LINE WAS BROKEN OFF AN IN-SERVICE LINE AT THE THREADED CONNECTION.  THE DAMAGE WAS EVIDENTLY DUE TO NATURAL FORCES.  THE SPILL WAS ENTIRELY CONTAINED WITHIN THE TANK IMPOUND BASIN AND THE OUTDATED PIPING HAS BEEN REMOVED."
6/30/22,YES,NO,19860045,,2731,CHEVRON PIPELINE CO,NO,3/10/86,1115,TX,WINKLER, ,NO, ,NO,MP 60.68 KEYSTONE-GOLDSMITH #2-8 1 MILE EAST OF KEYSTONE STATION, ,LINE PIPE,PIPE, ,1929,CORROSION,"CORROSION, INTERNAL",CORROSION,INTERNAL,0,0,0,0,0,0,250,236.6223739,525.7676423,CRUDE OIL,1,1550,1500,NO,NO,8,0.33,35000,WELDED,,850,550,YES,0,730,5,73,INTERNAL,Null,YES,GALVANIC, ,NO DATA, ,Null,NO DATA, ,Null,Null,"R. L. DOWNIE, DIVISION MANAGER",9156877551,INTERNAL CORROSION ON SIDE OF PIPE.
